Model,Zone,RMSE
RandomForest,Afghanistan,1.7002172389440833
LightGBM,Bangladesh,0.7098753454196948
StackingEnsemble,Bhutan,1.2068065948992337
RandomForest,Myanmar,0.6566698822668434
StackingEnsemble,Nepal,1.6911415269621415
GradientBoosting,Pakistan,1.632330288297061
CatBoost,Sri Lanka,0.3146148097538816
LightGBM,Zone 1,1.863739817683454
StackingEnsemble,Zone 10,0.48860721666682055
LightGBM,Zone 11,0.33794731419615043
GradientBoosting,Zone 12,0.33486668140429937
XGBoost,Zone 13,0.8142640359662479
RandomForest,Zone 14,2.09530444299439
CatBoost,Zone 15,0.28338336950468
XGBoost,Zone 2,1.0978110492029525
LightGBM,Zone 3,0.8380899366549492
StackingEnsemble,Zone 4,1.1781049223276523
LightGBM,Zone 5,1.4804068533522066
RandomForest,Zone 6,2.013989154783255
LightGBM,Zone 7,1.1465713918168414
RandomForest,Zone 8,1.4675363467985403
LightGBM,Zone 9,1.0264381166302294
