Model,Zone,RMSE
CatBoost,Afghanistan,2.4764962053815673
StackingEnsemble,Bangladesh,0.45001822859798674
StackingEnsemble,Bhutan,1.0090935854748058
XGBoost,Myanmar,0.5426200196539696
StackingEnsemble,Nepal,1.5159033354792604
GradientBoosting,Pakistan,2.1006960253243907
StackingEnsemble,Sri Lanka,0.3712288808947036
StackingEnsemble,Zone 1,1.7322085188833827
RandomForest,Zone 10,0.5255736390412373
LightGBM,Zone 11,0.3897128818302882
XGBoost,Zone 12,0.36953630934191783
GradientBoosting,Zone 13,1.131077420213112
LightGBM,Zone 14,2.1076251935509447
StackingEnsemble,Zone 15,0.35999988675318817
StackingEnsemble,Zone 2,0.8475290098616705
RandomForest,Zone 3,0.6231305695461623
StackingEnsemble,Zone 4,1.4536294773837468
GradientBoosting,Zone 5,1.3818490098120506
LightGBM,Zone 6,1.4081023932419807
StackingEnsemble,Zone 7,1.0902979404461741
GradientBoosting,Zone 8,1.0411621332965644
LightGBM,Zone 9,1.07541704920383
