Model,Zone,RMSE
CatBoost,Afghanistan,2.4764962053815673
StackingEnsemble,Bangladesh,0.47059181000046607
StackingEnsemble,Bhutan,1.0070931831461376
XGBoost,Myanmar,0.5426200196539696
StackingEnsemble,Nepal,1.5424756634934838
GradientBoosting,Pakistan,2.1040315985449958
StackingEnsemble,Sri Lanka,0.3669668076384818
StackingEnsemble,Zone 1,1.770348037895124
RandomForest,Zone 10,0.5252855455627641
LightGBM,Zone 11,0.3897128818302882
XGBoost,Zone 12,0.36953630934191783
GradientBoosting,Zone 13,1.1312157223813886
LightGBM,Zone 14,2.1076251935509447
StackingEnsemble,Zone 15,0.36588160266486025
StackingEnsemble,Zone 2,0.8635951933442586
RandomForest,Zone 3,0.5802316063606627
StackingEnsemble,Zone 4,1.5417066572290319
GradientBoosting,Zone 5,1.381630356203764
LightGBM,Zone 6,1.4081023932419807
StackingEnsemble,Zone 7,1.036810849873144
GradientBoosting,Zone 8,1.0483825084794398
LightGBM,Zone 9,1.07541704920383
