time,Afghanistan,Bangladesh,Bhutan,Myanmar,Nepal,Pakistan,Sri Lanka,Zone 1,Zone 10,Zone 11,Zone 12,Zone 13,Zone 14,Zone 15,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9
1981-01,-2.724867367744421,15.370422598031872,1.8171575927734693,14.110672324044387,0.00224696568087828,7.324390771653942,23.917613220214875,-14.930670586947711,19.271458018909826,20.586546253022703,21.967193603515653,17.322294786241333,11.380756293402804,24.150161743164062,7.931459877707777,15.177214558919284,12.142681884765661,10.492676871163534,9.268650679154854,13.464580601283501,11.876898193359402,15.611316324869815
1981-02,-3.2063169240951197,15.531292255108195,2.9661181640625274,16.288934217180543,1.361825997488917,9.064484066433403,24.062696838378955,-14.471654431573246,20.327149732185166,21.09760829380582,22.173863220214873,19.190948316786045,13.941852484809052,24.636795043945312,8.157287458940006,16.446899922688846,14.042436436244445,12.531619262695338,11.028660167347338,14.857379499162962,14.073639729817744,17.34397420247398
1981-03,3.6125433206558544,23.047191209059516,7.745958862304701,22.32923540387838,6.5576113019671425,16.4338417053223,25.347766876220717,-7.089451809587114,26.721438783587857,25.85661592029393,26.75188700358076,26.32586296929256,22.31945529513892,26.457937622070347,14.039048212224811,23.920610046386752,21.240600367954823,20.19178510393419,19.10772122469818,22.27491925920761,22.398913879394563,25.43524658203128
1981-04,4.845208692550688,28.33724811260519,11.104971923828156,26.77824848720008,9.982843235560905,18.329614681667774,27.549012756347683,-3.871828487001584,29.722915094549027,29.20810735793343,27.64595845540366,28.496068996853328,26.012328423394127,28.531350708007835,18.67017017711296,28.996847025553432,26.220462690080947,24.65215781075616,22.875180331143493,26.9573247419085,26.726595662434928,28.847173665364615
1981-05,12.552866172790557,32.86262324406554,15.375441894531274,29.089384787423302,15.695471191406325,26.283888753255233,28.15964584350587,0.8054515970164644,32.20072002988875,32.13412417457219,28.735119120279972,33.11511416965064,33.07231869167755,29.501336669921898,23.2277205033736,34.136503092447946,33.671718924386184,32.498019191197,30.58366477272729,33.28985055106029,33.229303385416685,33.130345967610694
1981-06,22.580272626876866,31.7577359713041,16.804687500000036,26.35736383710591,20.517080034528536,32.138194486829995,26.574002075195327,7.1720555798761145,30.041445830374077,32.13409060523626,27.028638203938822,32.57729610866974,36.53174370659725,28.03908386230472,22.857036937366857,33.84736124674483,36.45259530203686,37.9742102486747,37.37826981977985,36.37446027483261,36.50119262695315,31.92028798421226
1981-07,24.361143016815216,28.99260089580833,17.6251062011719,24.457771137782533,19.015683855329296,33.55643980238175,25.71322631835939,8.890425793877988,26.096223680900827,28.890213739304336,25.20302429199221,31.392614576551676,36.46626620822485,26.855728149414062,22.612910738858332,30.199456787109416,31.562115696498353,34.29128308977404,36.73038024902346,32.8500800432478,35.089814758300804,29.64126902262372
1981-08,22.807539844512966,27.85677067683296,17.544207153320336,24.223633411952452,17.8090962001256,32.06609183417428,25.582530212402375,9.439118483970933,24.113956613251688,26.72110087076825,24.189365641276055,27.761720445421034,33.426460605197505,26.665255737304733,22.954720930619697,28.115447489420614,27.88245980398998,28.93735046386721,32.58448902476919,25.339137660435295,27.515440877278667,24.05807851155602
1981-09,17.646496677398716,27.169057992788485,16.230138549804725,23.256885964529886,16.24965842110776,28.75828081766767,25.701710510253918,5.983560391130139,24.005804258404392,26.22165934244794,24.329208882649777,28.509927029079886,32.767925177680155,26.710372924804688,21.062220070578864,27.75879109700523,28.366644287109402,29.10519365583149,30.864638172496473,25.90079851422993,28.22276763916018,24.84238128662112
1981-10,10.908858394622834,23.70887192946216,10.665477905273463,20.43827874319896,9.662823704310885,21.85943857828779,26.082582855224643,-0.7736131339237377,24.0463005297112,25.518212599981428,25.61201477050785,28.299941507975284,26.57818586561418,27.251150512695347,15.891409995339167,24.831589762369816,23.8330468314035,23.087073189871685,23.38372164639563,23.38801470075337,24.554067179362,24.418479410807315
1981-11,3.893123078346286,19.11979628342851,5.36834289550784,18.840401513235935,3.63915296282093,14.09616459740535,25.70609664916995,-9.497451992692591,21.768355583422128,23.388751947312144,23.988860066731803,21.949445766872852,18.26521606445315,27.58078002929693,11.628680697354442,19.713309733072936,16.836785234723802,15.65449567522323,14.921198619495767,17.483562796456493,16.87033111572269,19.482918090820345
