,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,CHIRPS,AMME,BMME,RMME
Afghanistan,0.3140079000785732,0.9119413723384047,0.10598665673715071,0.4981246014305981,0.1664926176472005,0.5445160294877547,0.4389809692614222,0.659369094321193,0.6114055692904171,0.9899276928891015,0.41336999782777906,0.4899773702152261,0.5284465814834776,0.18787762769563432,0.7084802780283124,0.5181010954007581,0.251324176785591,0.35296027399350793,0.2743397575724303,0.12428069557398469,0.17494931184170504,0.45449551790292586,0.4928883271561034,0.44169791481853327
Bangladesh,3.1768928099784857,2.7451890797800242,3.971378208025532,3.9636850262354635,4.020550755933706,2.93813397078827,3.3179100304667193,2.231965102030695,4.172710177296068,7.261561209664539,1.5695831300886967,4.544293939019049,3.25488426282356,3.018173811798288,3.0456941587058934,3.9953039977360154,2.0783179814393073,5.127243042058897,5.267008998074042,3.9507227511676586,5.681578783914993,3.682560122155546,3.706486436854078,3.674584683922702
Bhutan,4.292426279079869,2.579128653716479,5.069735942544545,2.8980616794179466,6.748367458547815,5.288509675587707,2.872442833012583,3.582032819335759,6.569268110789923,9.589787804676755,2.8550549175103024,4.231262967855133,6.608876879377952,3.6814625302967903,1.7128335638598529,7.723935761201572,2.530977831648026,6.0709296508511805,5.921319633374579,16.148915489431918,2.7906055450389298,5.348766524105834,3.738633477050534,5.8854775397909345
Myanmar,4.241412802210081,4.522375175918528,3.328808748251926,4.0767777718793585,5.355242806552085,3.3657486942127783,4.1021163783896295,2.618490917478326,3.7113937060248166,6.590208703318163,2.40550741569792,6.940204137338251,3.276562686924932,4.1485746638201935,3.5016437499412105,4.49465940118048,1.6032624283919534,3.175293742266849,4.515636745588998,4.212689700281933,5.650068920204379,4.009330518783421,3.9123846680023946,4.041645802377095
Nepal,0.996037644610917,1.2860569135288438,3.4538465581580473,1.7270125375642367,3.6754389760042003,3.1212924963665793,2.2496270923799178,2.817882017170219,2.292748183269588,1.0877985736772078,2.4550413034307406,1.6278662793148586,3.108264486400613,1.0676888827389759,1.348293774774165,3.6349915341835444,1.3445685619459762,3.108850017660904,3.474064045544806,5.083099904131806,1.6375772980277805,2.4480234891428077,2.384057989325941,2.469345322415096
Pakistan,0.09981814119422394,0.43333541008389925,0.19605126400091616,0.2818395092832666,0.4275262229466166,0.6698412857050321,0.32062157387989554,0.45747938889927536,0.34490424415145293,0.6476133974087507,0.33152915729938104,0.38497185961482533,0.36897525530258574,0.09111333694666127,0.4588377871683628,0.2428413974745569,0.11136672277926218,0.23986860005292693,0.28237649415755584,0.15963442929374264,0.11990878886392509,0.3275272738821595,0.4027033300388225,0.3024685884966051
Sri Lanka,3.9713415346126304,5.378321776469355,5.565873074422742,8.777925748426979,5.681202038616866,9.514950580143006,10.680232725829754,8.83519524259339,6.718739983338175,5.596878981078199,2.338244025949601,11.87588039353848,9.463035721201237,4.982714627453564,7.659867842533072,3.5984546492979668,3.776872136123357,8.840066435364509,9.722129635232756,8.648689599921594,9.58864041723408,7.081330837607362,9.271021306433115,6.351434014665444
Zone 1,0.7122591922231449,1.1739264758893089,1.1406223134770548,1.503143607451416,1.5207888279747517,2.6118453028948623,1.3615857395906015,3.5611543010771354,1.6755442317649607,2.97142523782502,1.692950248977448,1.4984123436565877,1.8639540540405652,0.668851707747517,3.3963125887705523,1.5592052720457725,1.219041233095611,1.6269022538948021,1.9522097827536087,1.3580094031649204,0.5932894718159001,1.753407205915782,2.1650194042922077,1.6162031397903067
Zone 10,1.3955520417271579,1.157146810724708,5.035333752161713,5.59679290456557,4.772272791905501,4.5704125477619515,3.385131238794219,3.1089998919864974,3.2399377002365988,1.4756709808339965,1.0179991262064796,8.10256689675559,8.113839587233333,2.038656177046975,2.997495962276499,2.186512489436004,2.625535875515564,5.953438804308426,4.920649083239837,5.989689998901425,4.7467424847607,3.884181733080902,4.294096347327616,3.7475435283319984
Zone 11,2.0187381968196942,2.02293493845807,6.8684985052752845,5.973473521821635,5.242104143065238,5.495157693963321,4.348473876194266,4.440641813949261,4.38432686372793,1.7023377690504296,1.5407241320411194,7.850010234710983,7.270861803643144,2.095058913877863,5.030647839530869,3.0960764992393384,2.824684971783429,5.735248780455087,6.63865854084688,6.191266614474084,6.677230747043249,4.538496282646396,5.497282294471394,4.218900945371397
