,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,CHIRPS,AMME,BMME,RMME
Afghanistan,1.185281995920781,1.0382499947325865,1.4520694561325007,1.022917386263288,1.1303498361177529,1.016461964205518,0.9207454006554215,1.5353009946558245,1.2937476955131197,1.7417513601832109,1.2247474576775959,0.4219579615531213,1.7087360632896578,1.1098649115204353,1.02778052385096,1.5378888230616687,1.5700860716301044,1.0593447515622894,0.6292832056561126,0.587366513322347,1.136620952270228,1.160696618375215,0.92343769612626,1.2397829257915332
Bangladesh,1.6848806703994554,0.9198423544190346,0.20038367766922532,1.1384165109756519,0.7391969903095402,0.684521853546337,0.4665274454244642,0.909013820628369,0.37464069263962807,0.81934953298521,0.5270178012188622,1.3317102841830906,0.436753678156219,0.9683888922162245,0.17052282895144374,0.4462209084683521,0.11542549580154207,0.6305902008009954,0.6443745529476186,0.3198754814758362,0.26568101932783267,0.676382683660855,0.6208726383691031,0.694886032091439
Bhutan,1.781406421055983,1.4346358036675477,0.5042585347543328,1.5194170864792789,0.8888164190489023,1.2969649785323483,1.2699066372213892,1.3767899305717644,0.7461814631883766,0.9924375609342699,1.4512388369352132,1.628720275928652,1.3379165843851673,1.4116255415442804,0.30060157726462516,0.8449963840237106,0.5740486465916547,1.008437484370241,1.1247927239873008,0.8005790348754541,0.2733299086048603,1.1146885962680246,1.1023366006969884,1.1188059281250364
Myanmar,1.1525642690799514,0.5780654335315858,0.3330222668239181,0.5508973328495311,0.45310238999200614,0.4578632710269606,0.5082107690727801,0.47922291562809805,0.4060842524966017,1.151317544131494,0.499853950064463,1.6767261714950257,0.38343434376532715,0.7372674344592419,0.2639504895093681,0.6294606450035533,0.17615551791228126,0.6161997119230417,0.5830240435997647,0.7233006863243828,0.22637974251848506,0.6179861719344689,0.4727891812116809,0.6663851688420648
Nepal,1.1678326963663246,1.7689591097257085,1.41712157115329,1.6666789714244883,1.422702729749605,1.9734675649524538,1.3778355437360543,2.569175980986917,0.9061109349805053,0.7307321271428874,1.984497225125071,1.27875249764075,2.029716696816518,1.9061852291270345,0.856121320743461,1.1000587700178175,1.7665158990312952,1.691728394846576,1.303014721919614,0.8855880508455887,0.7063127162435607,1.490139801816598,1.4354236245552143,1.5083785275703927
Pakistan,0.5218119025181033,0.5953812563869864,0.7139734923616503,0.4110549072086385,0.523316607976597,0.5260242251190218,0.5246024266628072,0.5772437923112237,0.48360162120532807,0.8783916384996758,0.570776471542518,0.17464910364348388,0.7264945075607788,0.5430499367077289,0.30457170238540276,0.5794630557784453,0.5604747913237633,0.35144497036328437,0.3083727811922043,0.21546957270657904,0.6166194305681472,0.504508438172711,0.4149252085136149,0.534369514725743
Sri Lanka,1.8994966936906892,1.3984543735243198,1.6344192084548679,1.2149796928863839,3.0633925406588243,2.8968663021233274,2.219418722188541,4.7494910034410225,1.6994641672777162,1.8262396887653334,0.4665421694362846,9.060293631814556,2.400987518628157,2.404433644418617,1.710558826069957,0.8291220128846326,0.5557725878978927,0.9920321653773252,7.639972224559385,7.595363279337884,3.7814068123576137,2.8128650226717857,3.1363591535655186,2.705033645707208
Zone 1,1.782612276885696,1.4130427818037692,2.66193553839134,1.6171154278728657,2.134419937640711,2.3641802561384146,1.7427751279315036,3.17543858752792,1.8689658907489612,3.6854006220375375,1.8209036645199694,1.6212877601098383,3.5938934669421596,2.343130954374823,1.8422975388788774,2.375523630458914,2.8811619432863105,2.1296278302273586,2.0753941827583966,1.5634976810160535,1.0412931752702237,2.234630254977571,1.9283525067160117,2.3367228377314238
Zone 10,0.3649866759952132,0.5353185618099316,0.1701467434525553,0.215274048529445,0.35386890349154776,0.6294265057627145,0.3159680040250436,0.7065075446553032,0.3329507089376861,0.2890923535289387,0.6385436882083556,1.9749578152976213,0.21973534443611187,0.47748224905278863,0.26247770093663464,0.3901847491841233,0.023887269770116917,0.20309861975662985,0.6706583906935151,0.9725247662418522,0.13938689003505073,0.4873545321883063,0.41876092998947057,0.5102190662545849
Zone 11,0.5922942861183025,0.795724458446239,0.282514109932726,0.4956464751672391,0.7214325201859709,0.8900271180876341,0.6303260399958152,1.3240236286287346,0.411589592650376,0.42888740458737,0.7931398881442547,2.3796940142610614,0.29783862397893435,0.8378182342187172,0.5853051990539951,0.5620387617711334,0.07796203918501772,0.3714307815158817,1.6468775580965402,1.736100552500091,0.3164732406422588,0.7930335643263018,0.8496364780802448,0.7741659264083207
