Model,Avg_TSS,Months_Count
CHIRPS,1.0,12
BMME,0.6235293588254559,12
EC-Earth3-CC,0.6031501533109315,12
AMME,0.5598129126278347,12
KIOST-ESM,0.5536198800579016,12
RMME,0.525643748771146,12
