Zone,BestModel,Raw_RMSE,ML_RMSE,Skill
Afghanistan,LightGBM,0.5082703680172581,0.4598773254664527,0.09521122142056926
Bangladesh,LightGBM,5.1373859775662964,3.117859470745141,0.39310390841566745
Bhutan,XGBoost,3.0632880540161196,1.5301957941540523,0.5004727707053566
Myanmar,RandomForest,2.584175034035836,1.2593960185002455,0.5126506517890999
Nepal,CatBoost,1.6970178860618452,1.0369080380897124,0.3889822572842795
Pakistan,LightGBM,1.0378466048805677,0.6568552083594801,0.3670979841620534
Sri Lanka,GradientBoosting,4.269469865512186,3.574975760988914,0.16266518476526537
Zone 1,RandomForest,1.590556154217058,0.576133460020147,0.6377786106497163
Zone 10,XGBoost,1.9302291934649167,1.14047894297456,0.40914843333847384
Zone 11,GradientBoosting,1.4700479961956026,1.1526032362180114,0.21594176571045265
Zone 12,RandomForest,5.7469465194416705,3.4280534845160533,0.4035000198941999
Zone 13,LightGBM,1.7626736003258645,2.0027159674077497,-0.13618083747184317
Zone 14,LightGBM,1.3163688787183518,1.1823604418812785,0.10180158389003169
Zone 15,LightGBM,6.65066912666834,4.295111539119488,0.3541835479535984
Zone 2,LightGBM,1.6959005034731944,1.5034716880882508,0.11346704301982957
Zone 3,RandomForest,3.12698199360046,1.5522991432584852,0.5035791231176416
Zone 4,LightGBM,1.482994115753823,0.9499793658451687,0.3594179803186317
Zone 5,XGBoost,2.3423902607697227,1.1689591299303708,0.5009545806657153
Zone 6,LightGBM,1.5802971828418917,1.641403245775375,-0.038667450399167747
Zone 7,LinearRegression,1.6952622365438086,1.0606121028458124,0.37436693864654236
Zone 8,LinearRegression,2.70649456165236,1.8178981300566288,0.3283200506611136
Zone 9,XGBoost,1.7626112223232568,0.9543831238062168,0.45854019779343813
