time,Afghanistan,Bangladesh,Bhutan,Myanmar,Nepal,Pakistan,Sri Lanka,Zone 1,Zone 10,Zone 11,Zone 12,Zone 13,Zone 14,Zone 15,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9
1981-01,-2.634627525476211,16.47023289645622,2.5878440053755907,15.856426232819521,1.6024504996191584,8.456142478310966,25.824753105747654,-11.63832796918431,22.2762059319843,23.013049154665076,23.777246101684554,18.723656163318715,13.308296270202906,25.285864870658447,7.967291930302098,17.668189921441243,15.15252641100082,13.245244882934808,10.373025812760961,17.764433365755565,15.113360207362343,19.42199588563502
1981-02,-0.041582184709688906,19.59967928325637,5.26037131149656,18.427462753361137,4.227079658849928,11.692134213070572,26.388252063948546,-8.917151227349212,24.717305689862236,24.769976474124995,25.225959956096556,21.574088022613523,17.087677370180543,25.54570041460169,10.854003195409422,20.8796817522414,18.62658482102055,16.776864282007327,13.934334729468912,21.054659128813032,18.81782800197977,22.38867272902649
1981-03,5.081718628165406,24.303472563548688,9.406375187208365,22.372452731929357,8.480470255740903,17.042596059811714,27.67035260217038,-4.486347239030775,28.08744818617597,27.520665640678306,27.332926562501125,25.88295131560441,22.81198903080807,26.623206892550108,15.261254685180049,25.629787158427256,23.962976561133228,22.116632195416365,19.266867192943216,25.934611832179137,24.09489970310397,26.578431985265286
1981-04,11.950843156875697,27.71964505734917,12.914440325257052,24.9282966196436,13.258221752444005,23.36654642253963,28.551953530517988,0.9854094494526322,30.457407981073068,29.8978449623985,28.344757188594798,30.078559882927692,29.264809469433988,27.837840855628883,18.530893490038483,29.343062257629988,29.45563762848007,28.250715199548768,25.75331035366034,30.324827447379374,29.938212375560862,30.612212106802314
1981-05,17.27504125890544,29.95852513426909,16.062219653490185,26.285065193563998,17.59136810056077,27.95715601400234,28.490432886995244,5.941047475929323,31.358988668943276,31.65093811374128,28.243993411566912,31.76093311346411,33.353328456776936,28.557657404039457,21.308176922545705,31.903257853170516,33.99487955458571,33.201114419411574,30.814453192275415,33.8634259128447,34.09729166708179,32.55328698871946
1981-06,22.675521926981173,29.309175815960078,16.708163480771287,24.896933238539795,19.391278488036594,31.650916324803767,27.71203218274992,10.135495059823752,29.692932576736734,31.35304198554464,27.195010990875232,31.545948712612347,35.464825342996804,28.14591176408853,21.75348776331873,31.129507674364014,33.85039725807015,35.24028866545314,34.24813047718217,33.46248352650529,35.133295658183485,31.334546343155967
1981-07,25.221644499059007,27.80911358699056,16.886479234267775,23.888949792839597,18.58825654052999,32.02434976685003,26.74944186216323,12.242672274382246,26.196699086652224,28.4699262088186,25.4500912210568,29.61001670668876,33.822052489293604,27.54565848806819,21.50826427845572,29.127931550631292,30.374392095776436,31.76777151026432,32.98414282568868,28.987809146389473,31.064542897816494,27.448320090997168
1981-08,24.002324042053942,27.514942689708686,16.859322905959964,24.12789829986567,17.85353730528398,30.994576709917634,26.57323092136945,12.251805791465076,25.178738578583705,27.453575756945746,24.92379531914851,28.509447779732064,32.49022745765773,27.3020016475822,21.617658004131,28.286959483958434,28.782498948881436,29.74270036928184,31.371326289015485,27.21118800763772,29.140505256915485,26.020892377318024
1981-09,19.084007873277365,26.916222234363914,15.602113379009875,23.61626788393201,16.260469403245594,27.948013833963632,26.736893566154833,8.593241221087032,25.60776489214358,27.584148607311977,25.229199055832904,28.89601650599344,31.099081711624915,27.058011144079472,20.405461225944293,27.910091777807413,28.29791973785708,28.761367919166542,28.82381269873523,27.28849116589593,28.68032075337585,26.413974437024216
1981-10,12.516683472181139,25.148656862067263,12.114725413531612,22.263683179777168,11.916307719203054,22.744759495473765,26.714910848873927,2.136781792996016,25.499803306074934,26.72633503976808,26.181556539390733,28.651468917087175,27.358630037702447,27.332462571860248,17.451316353789206,26.120651458603174,25.416753691941132,24.72423440055498,23.706730742908555,25.58134288854752,26.084829769117693,26.086578353841922
