Scenario,Model,Zone,RMSE,MAE,R2
SSP245,LinearRegression,Afghanistan,2.495744176828164,1.8222597210143994,0.9270736657620284
SSP245,LinearRegression,Bangladesh,1.2938007723923786,1.0736254262805314,0.8775069499721759
SSP245,LinearRegression,Bhutan,1.4113775673461484,1.1227719322936518,0.9064466782794366
SSP245,LinearRegression,Myanmar,0.882608576724113,0.6725572551309925,0.8685641217955743
SSP245,LinearRegression,Nepal,1.8706067193810232,1.6640806625703963,0.9122668878377055
SSP245,LinearRegression,Pakistan,2.469842841206581,1.887145543062882,0.8693881716863658
SSP245,LinearRegression,Sri Lanka,0.5691345153410425,0.4411733737150672,0.40688581196969087
SSP245,LinearRegression,Zone 1,2.2117574785236425,1.9262532729380546,0.9358716929290485
SSP245,LinearRegression,Zone 10,0.603085925258701,0.5312946071808705,0.9352783807297028
SSP245,LinearRegression,Zone 11,0.6129031977445201,0.48220727356083665,0.9362275751831677
SSP245,LinearRegression,Zone 12,0.44421909501669005,0.3794079585979313,0.8729572733973724
SSP245,LinearRegression,Zone 13,1.5156478106503481,1.2826686084298895,0.846026561135787
SSP245,LinearRegression,Zone 14,2.5603004126670603,2.072833538386558,0.8416222870424408
SSP245,LinearRegression,Zone 15,0.44483987930051105,0.35714266409243195,0.3095803430587494
SSP245,LinearRegression,Zone 2,1.3312030928842469,1.1311272844801759,0.9114387491474533
SSP245,LinearRegression,Zone 3,1.2914910906213963,1.0845176228156024,0.9016146472988008
SSP245,LinearRegression,Zone 4,1.7043795585446615,1.5095288606422559,0.9072968764164595
SSP245,LinearRegression,Zone 5,1.903851902636901,1.5392248762527425,0.9113054265071379
SSP245,LinearRegression,Zone 6,2.3125243325319618,1.6630334645555742,0.8939237095076653
SSP245,LinearRegression,Zone 7,1.2908206686583652,1.119641597094003,0.9169816980319354
SSP245,LinearRegression,Zone 8,1.831039073835404,1.4120303719214362,0.9001736190760161
SSP245,LinearRegression,Zone 9,1.250102454043732,1.0199065317958507,0.8931732664684782
SSP245,RandomForest,Afghanistan,1.5823642528472148,1.1864377359962501,0.9706845086900209
SSP245,RandomForest,Bangladesh,0.9196613207257903,0.7141538143421542,0.9381082904390984
SSP245,RandomForest,Bhutan,1.2726221123397474,0.930225762393555,0.9239373028127162
SSP245,RandomForest,Myanmar,0.6511616292415002,0.4730231183846003,0.9284589604067444
SSP245,RandomForest,Nepal,1.8969833592049976,1.6011075785296278,0.9097752686370448
SSP245,RandomForest,Pakistan,1.9156740681374416,1.5827037106632826,0.9214245077313654
SSP245,RandomForest,Sri Lanka,0.39057929568623817,0.32120533174107724,0.7206640062152201
SSP245,RandomForest,Zone 1,1.9374675246726252,1.675874363640921,0.9507911031016343
SSP245,RandomForest,Zone 10,0.5370292973144294,0.44254515484514584,0.9486799647222839
SSP245,RandomForest,Zone 11,0.382957252550747,0.31077041936330446,0.9751028432579097
SSP245,RandomForest,Zone 12,0.38242735176744663,0.3093226204023806,0.9058428613517797
SSP245,RandomForest,Zone 13,1.0094021511027735,0.8148482734026986,0.9317067676943362
