time,Afghanistan_corrected,Bangladesh_corrected,Bhutan_corrected,Myanmar_corrected,Nepal_corrected,Pakistan_corrected,Sri Lanka_corrected,Zone 1_corrected,Zone 10_corrected,Zone 11_corrected,Zone 12_corrected,Zone 13_corrected,Zone 14_corrected,Zone 15_corrected,Zone 2_corrected,Zone 3_corrected,Zone 4_corrected,Zone 5_corrected,Zone 6_corrected,Zone 7_corrected,Zone 8_corrected,Zone 9_corrected
2025-01-01,-1.0029415,17.104822,9.6978245,18.658215,2.9426897,10.02944,24.51485,-11.897537,24.403784,23.145754,24.500935,21.831486,14.305144,26.364231,10.413098,18.062784,15.80237,14.389213,10.926179,19.036922,17.337915,22.835588
2025-02-01,3.2368753,20.71404,10.943456,18.992485,1.9919195,15.102829,26.524286,-9.688987,24.76,24.347698,25.201942,23.600473,20.897741,26.7177,12.883497,21.424742,18.880787,17.436256,14.558525,21.240675,20.255322,23.631617
2025-03-01,5.976254,25.338032,13.934122,24.76274,5.7021537,17.60173,26.028984,-6.0210934,27.848373,27.761454,27.092161,25.752502,23.052044,27.055717,16.40217,26.72756,23.914602,20.486662,17.380283,26.9337,23.798248,27.02087
2025-04-01,12.72954,26.417488,15.914652,25.694998,10.768704,24.249924,26.600561,0.7869719,29.880552,30.516161,27.499931,30.99468,29.95819,27.485641,18.869703,28.668528,29.306486,28.247494,27.710186,29.286602,30.501657,30.793497
2025-05-01,18.398632,27.924524,18.013342,26.070318,13.209972,28.409107,26.569157,3.3250694,29.028866,31.031487,26.67141,31.609688,34.16964,28.100855,20.231024,28.371817,29.314583,29.930193,29.404432,29.85452,32.330006,31.045494
2025-06-01,24.45436,27.149178,20.2811,24.871489,15.702643,31.05722,26.359116,7.570304,26.639133,29.230862,25.046822,30.875492,33.555984,27.641504,21.50947,28.372034,28.09338,29.581135,32.711563,28.010122,30.667543,28.177275
2025-07-01,25.463932,27.043116,20.663462,24.871489,17.076937,30.715403,26.604937,10.774584,24.902054,28.000605,24.575413,29.3535,32.975613,27.350195,22.138168,28.106138,28.674793,27.879791,28.80833,26.57689,27.189795,26.439558
2025-08-01,24.162926,27.180151,20.336048,24.2341,16.793745,29.231226,26.396215,10.773483,24.58692,27.770823,24.430256,28.031395,28.987122,26.930857,21.948269,27.737444,27.638098,27.441154,28.084715,25.99462,26.363956,25.413908
2025-09-01,19.831991,25.728264,19.848688,23.914633,15.2692585,27.360441,26.465729,8.363995,24.609545,27.350382,24.53505,28.146296,28.855597,26.499857,21.66225,25.842094,25.683228,26.995457,26.272202,25.702261,26.543383,25.37458
2025-10-01,13.251591,22.623508,13.884751,23.742104,8.197286,20.937449,26.170732,-2.004828,24.602682,26.80908,25.129318,28.210531,27.357872,27.207394,20.11416,22.96254,26.271603,25.115551,23.664715,25.312073,25.630695,25.628544
2025-11-01,4.718133,21.72657,13.45052,21.599775,2.2494137,16.347033,24.933716,-7.603326,23.949438,24.337702,24.876535,24.367702,21.658257,27.002338,14.923293,22.114098,19.223684,17.339836,18.04198,19.07515,21.00034,23.43669
2025-12-01,-0.53327113,18.918509,11.036014,18.676577,2.18456,10.023307,24.807537,-11.794154,22.630129,23.034786,24.526028,21.00262,15.5162945,26.32829,11.984642,19.054276,16.525766,14.484659,12.202637,19.464376,17.308304,21.623829
2026-01-01,1.806789,17.60881,9.994171,18.777153,2.9426897,15.294025,24.673147,-11.554428,23.686678,23.108297,25.376959,22.371662,15.146428,26.48114,10.310728,18.143072,15.797485,14.8285,10.669719,19.427105,17.495638,22.385069
2026-02-01,2.4746406,20.71404,10.97288,20.533298,3.7383442,13.992074,26.379873,-9.524521,24.663671,24.279154,25.311615,23.600473,21.056404,26.703245,12.818705,21.424742,19.24315,17.81532,13.902418,22.472921,19.850801,23.891533
2026-03-01,3.395763,25.335938,13.782949,24.347237,5.7021537,17.818003,26.02814,-6.0210934,27.873783,27.583849,27.590956,26.2,24.29459,26.880686,15.320547,25.990854,23.914602,20.486662,17.43864,26.178373,23.647068,28.016335
2026-04-01,12.655444,26.541748,16.13297,25.75461,10.768704,24.321207,26.674433,-1.9604537,29.880552,29.530886,27.590998,30.99468,29.95819,27.690844,18.338263,28.532219,29.306486,28.021347,25.03247,29.515152,30.498064,30.862383
2026-05-01,18.417257,28.072,18.141062,25.869495,13.414513,28.721872,26.579884,3.0656629,29.898771,30.175772,27.218588,31.135765,34.08868,27.803982,19.71149,28.546343,28.87847,29.694546,30.793877,30.189762,32.61309,30.798271
2026-06-01,23.494148,28.015368,20.222025,24.555674,15.618793,31.091597,26.392345,6.3237185,26.63002,30.311977,25.096094,30.618816,33.595226,27.704039,21.376709,29.129993,28.436985,30.423052,32.711563,27.726206,30.386015,27.683872
2026-07-01,25.907557,27.019806,20.663462,24.53592,16.9233,30.649544,26.512182,11.69475,25.122318,27.735683,24.606865,29.19896,32.68667,26.818071,21.860355,28.101637,28.109568,28.175322,28.80833,26.531246,29.331575,26.441135
2026-08-01,23.452986,27.161146,20.319748,24.246737,16.706903,29.30671,26.40963,10.889201,25.050085,27.415697,24.097805,27.310255,28.85418,26.986557,21.953764,27.980776,27.698832,27.07866,27.369751,25.818556,25.651701,24.31236
2026-09-01,20.422398,27.121717,19.8496,24.25313,15.731285,27.500689,26.048338,7.7422085,24.830336,27.317188,24.520302,28.15667,29.783178,26.784737,21.653414,27.646666,27.34249,26.995457,26.71271,26.251675,26.409422,25.37458
2026-10-01,12.510975,25.622452,17.050255,23.42207,12.8008795,22.701122,26.127645,0.6753294,24.484083,26.298426,25.164888,28.169521,27.06756,26.815031,19.175018,26.600176,25.53145,23.973246,23.71156,24.60527,25.86675,25.225817
2026-11-01,4.4920406,21.72657,13.533886,18.98235,7.037088,16.320263,24.963102,-7.3644824,23.865515,24.373863,24.907286,24.983332,21.658257,27.002338,14.715352,22.114098,21.922121,20.521038,18.04198,22.125397,21.00034,23.468172
2026-12-01,2.146502,18.973637,9.74838,18.873867,2.9748628,13.377531,24.925013,-11.204561,22.609907,23.034786,23.93525,19.344938,15.656791,26.33002,12.266377,19.013912,16.497211,14.810728,11.95276,19.14067,17.349178,20.996054
2027-01-01,1.782517,18.599031,9.994171,18.485502,2.9361749,15.294025,24.658487,-11.554428,22.904352,22.86848,23.799898,19.249716,15.092066,26.524155,10.418796,18.758709,16.248814,14.381454,10.669719,19.275455,17.341057,20.612907
2027-02-01,2.645959,20.703762,10.97288,20.526648,2.089026,15.102829,25.471243,-9.22729,24.76,24.279154,25.188347,23.600473,20.897741,26.365082,13.02881,21.424742,18.880787,17.124428,14.558525,21.240675,19.368607,23.891533
2027-03-01,7.738631,25.807678,13.721025,24.309454,5.579468,21.281326,25.953049,-4.7561393,27.787397,27.761454,27.463886,28.05999,26.598658,27.054525,15.707815,26.72756,24.020168,20.486662,20.490562,26.272564,23.647068,28.231829
2027-04-01,12.655444,26.474298,17.454958,24.992155,10.63291,24.190393,26.674433,-2.8835144,28.911346,30.181047,27.124022,30.99468,29.95819,27.529268,18.28864,28.532219,29.645267,28.021347,27.710186,30.206436,30.498064,30.793497
2027-05-01,19.233442,27.044874,17.53954,26.161581,12.977791,28.568943,26.545921,3.0656629,28.593971,31.031487,27.258657,31.135765,34.75392,28.100855,19.97956,27.980822,28.475817,29.694546,30.642183,29.85452,32.43505,30.821432
2027-06-01,23.36961,27.013334,20.385353,24.840021,15.618793,31.015347,26.392345,7.570304,26.639133,29.230862,25.088644,30.603374,33.595226,27.641504,21.599926,28.438065,28.191463,29.645964,32.711563,27.726206,30.386015,28.177275
2027-07-01,24.888994,27.216824,20.378206,24.53441,17.076937,30.75325,26.50497,11.529106,25.592314,28.000605,24.506876,29.402035,30.52134,26.7849,22.058413,28.379795,28.048338,28.129671,29.84651,26.57689,29.337172,26.33285
2027-08-01,23.505991,27.161146,20.467316,24.244913,16.793745,28.87253,26.29908,11.096759,25.17067,27.682423,24.097805,27.322367,29.923594,26.770336,21.803009,27.980776,28.122396,27.196274,27.621086,26.211067,26.289497,24.44184
2027-09-01,19.251234,27.098984,19.8496,23.914633,15.7203245,27.500689,26.133816,7.8006725,24.99316,27.46243,24.758633,28.121338,29.783178,26.730385,21.653414,27.768278,27.564428,26.995457,26.607828,26.296268,26.461454,25.748058
2027-10-01,10.935706,26.250116,17.041348,23.508196,12.8008795,22.842974,25.861046,0.6753294,24.58151,26.800728,25.164888,28.154734,27.679682,26.694519,18.8867,27.10458,25.580805,23.973246,23.452433,25.329046,25.838034,25.391151
2027-11-01,4.4420533,21.726158,13.00169,20.971272,8.605332,16.320263,24.932182,-6.675508,23.231321,24.337702,24.850948,25.447117,21.786219,27.011755,14.470213,22.114098,19.223684,17.339836,18.04198,19.07515,19.327192,22.17133
2027-12-01,2.3509023,19.747013,10.569011,19.516516,4.565278,13.377531,24.568768,-12.210755,22.831999,23.306995,23.93525,21.00354,14.93385,26.33002,11.747028,19.099686,17.10694,14.81936,11.95276,19.125145,17.350018,20.891136
2028-01-01,-1.0029415,18.362816,9.741076,18.928589,3.0154583,10.02944,24.661682,-12.290818,22.904352,23.108297,23.91157,19.249716,14.305144,26.524155,11.203367,18.758709,16.221603,14.381454,11.0358305,19.275455,17.338669,20.612907
2028-02-01,2.645959,20.915316,10.2143955,20.524063,3.0017583,15.171615,25.29034,-9.948488,24.812819,24.332176,25.3567,22.503069,21.056404,26.473671,12.914533,21.650026,19.497858,17.81532,13.872542,19.218521,17.15248,23.753012
2028-03-01,3.395763,22.554047,14.37562,24.76974,7.179447,17.741705,25.953049,-6.1868963,27.569248,27.922754,25.357964,25.752502,21.756748,27.054525,16.122408,27.071918,20.905687,21.324978,18.90011,26.881298,21.050993,27.02087
2028-04-01,12.72954,27.802383,16.13297,25.645395,10.63291,24.249924,26.53844,0.7869719,29.880552,30.516161,27.606852,30.773882,29.95819,27.748232,18.494984,29.260252,29.306486,27.54755,27.710186,29.286602,30.498064,30.810068
2028-05-01,18.398632,27.192085,18.054977,26.1612,13.260697,28.568943,26.579884,3.286343,28.848478,30.951466,27.178782,31.712193,34.08868,27.77016,20.189888,28.552185,28.565956,29.564241,30.748077,29.974373,32.3026,31.045494
2028-06-01,23.546547,28.015368,20.109333,24.51718,15.618793,31.015347,26.39652,7.894458,26.651867,29.358175,25.063631,30.841442,34.260715,27.63535,21.817371,28.544561,28.436985,29.417374,32.41053,28.010122,30.667543,27.971155
2028-07-01,25.907557,27.18675,20.528807,24.53592,17.076937,30.306557,26.544369,11.529106,24.67249,27.63715,24.506876,29.573162,32.686253,27.110247,21.822966,28.12794,28.155447,28.374554,29.991293,26.385254,29.07515,26.56213
2028-08-01,22.20625,27.082207,20.625608,24.248705,16.706903,28.602146,26.024906,11.097163,25.050085,27.528975,24.258911,27.326384,29.073336,26.985172,22.055128,27.980776,28.007986,27.197582,27.53081,25.818556,25.720453,24.931076
2028-09-01,19.551529,27.048527,19.848156,24.18779,15.2692585,27.160185,26.231129,6.9259415,24.850311,27.45137,24.516314,27.492868,29.148687,26.79007,21.616652,27.790096,27.233915,26.995457,26.272202,26.251675,26.466883,25.422232
2028-10-01,13.054616,26.206694,13.884751,23.742104,8.197286,22.842974,25.7029,-3.0027137,24.484083,26.800728,25.129318,29.082054,27.06756,26.483809,20.166042,22.96254,26.271603,25.14999,23.452433,25.312073,25.838034,25.359879
2028-11-01,4.4029384,21.434744,13.776351,21.741362,7.037088,16.320263,24.973434,-7.9150934,23.949438,24.373863,24.833092,25.447117,21.658257,27.041544,16.035475,22.201542,20.7722,19.204422,17.813803,21.235867,21.242228,23.43669
2028-12-01,2.146502,18.888546,10.190383,18.88415,4.4081,13.377531,24.715542,-9.377568,22.630129,23.034786,24.159903,21.039341,15.322292,26.291235,11.283709,19.048302,17.299145,14.810728,11.95276,19.14067,17.331472,21.58046
2029-01-01,1.782517,18.362816,9.994171,18.485502,2.9426897,12.285286,25.102627,-10.652779,22.89167,23.293098,23.91157,21.831486,15.092066,26.488846,10.4140835,18.902744,16.248814,14.381454,10.926179,19.294079,17.365074,20.934473
2029-02-01,2.809261,20.915316,10.943456,20.526648,3.9287162,15.339604,25.475523,-9.948488,25.201017,24.33663,25.527441,22.844591,20.941652,26.7177,13.02881,21.650026,17.638813,17.81532,13.902418,19.218521,20.683014,23.915363
2029-03-01,6.0116873,22.554047,14.37562,24.117653,7.179447,18.518425,26.016932,-6.1868963,27.589685,27.922754,26.77915,25.752502,24.29459,27.055717,15.707815,26.47287,20.905687,19.049877,17.443254,26.547148,23.514774,27.02087
2029-04-01,12.952931,26.929268,16.243153,25.75461,10.749139,24.445559,26.684221,-1.9604537,29.880552,30.516161,27.606852,30.24152,30.334602,26.840242,18.338263,28.577536,29.114424,26.797598,24.94127,29.515152,30.498064,29.284607
2029-05-01,19.233442,27.458796,18.084953,25.280485,13.408277,28.409107,26.434103,3.286343,29.064512,30.086594,27.22819,30.99437,34.025536,27.803982,19.373285,28.437847,28.535122,29.564241,30.748077,30.2144,32.466892,30.798271
2029-06-01,23.494148,27.229568,20.2811,24.871489,15.618793,31.091597,26.39652,7.570304,26.639133,30.311977,25.088644,30.63462,33.595226,27.641504,21.801294,27.98104,28.191463,29.522371,31.031729,28.086086,30.44862,27.500858
