Zone,BestModel,Raw_RMSE,ML_RMSE,Skill
Afghanistan,RandomForest,2.771003400601782,1.7057462400773404,0.3844301166476729
Bangladesh,LightGBM,1.7780839363777234,0.7098753454196948,0.6007638723367366
Bhutan,StackingEnsemble,3.430136044199421,1.2531023312657497,0.6346785331197502
Myanmar,RandomForest,1.5167705262679487,0.6664966833935668,0.560581728184356
Nepal,StackingEnsemble,2.2419997195023336,1.696285804077285,0.24340498826921486
Pakistan,GradientBoosting,3.210551689960827,1.6255319782532998,0.4936907624517537
Sri Lanka,CatBoost,1.4097202552761565,0.3146148097538816,0.776824651148784
Zone 1,LightGBM,2.0485375775098955,1.863739817683454,0.09020960213533047
Zone 10,StackingEnsemble,1.6584426490645632,0.501398502066914,0.6976690738448355
Zone 11,LightGBM,1.1754426990282179,0.33794731419615043,0.7124935869051345
Zone 12,GradientBoosting,1.2218785478271619,0.34936696884544793,0.7140738991884921
Zone 13,XGBoost,1.804065698623851,0.8142640359662479,0.5486505637863566
Zone 14,RandomForest,3.2460891692135783,2.1202262716523896,0.34683671300192553
Zone 15,CatBoost,1.1154642459780357,0.28338336950468,0.7459502888358287
Zone 2,XGBoost,1.6902221486787063,1.0978110492029525,0.35049304018342087
Zone 3,LightGBM,1.7644717000605183,0.8380899366549492,0.5250193377279986
Zone 4,StackingEnsemble,1.9652091827879017,1.0617888241704205,0.4597069698890086
Zone 5,LightGBM,2.1732294435390926,1.4804068533522066,0.3187986396220678
Zone 6,RandomForest,2.7259296653572296,2.0656703241880443,0.242214371691303
Zone 7,LightGBM,1.8481538288286008,1.1465713918168414,0.3796125766524734
Zone 8,RandomForest,2.158491467359242,1.4975880484040751,0.3061876449128309
Zone 9,LightGBM,1.4038294111861271,1.0264381166302294,0.26882988171406896
