,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5
Afghanistan,17.574041699428207,18.358063037722747,18.380935436730926,20.24174392523941,19.57074315166165,17.662550524558924,16.844039172697478,15.47424336601709,15.432327138676392,17.446553311628485,18.623562500911415,19.43728814358807,12.978749067112657,18.356432757658144,16.836371217833634,23.695450601056148,16.914340537225225,18.24794175225745,18.23869022395879,21.420731019506295,17.662857518642422
Bangladesh,30.14249711302793,29.48428537590294,30.317943233260515,29.092320079256883,31.071704571063734,31.41295674680288,29.006798863879254,30.870215713708134,31.505423753833362,28.773277248192727,27.682544394508337,24.43453159706268,28.758110766723945,32.53128527703151,31.161337444061875,29.884119650387518,29.54000644137898,28.686366622833738,29.64069457478476,27.87692052535285,27.231979478134477
Bhutan,15.263794663373195,14.355612230487921,15.933405610732294,19.242137767265714,15.94420631957214,17.242322930230074,14.489778929713502,16.53953320671533,15.410670489142948,19.35132315242994,12.123393634330053,13.561001527075703,13.784059023419195,16.676734068627486,17.75071039336961,16.989031707837302,15.40466779420386,16.524380890206004,14.150231887717693,14.506455317478592,18.08715491629376
Myanmar,27.06026777593364,28.840463343387928,25.585120818537476,25.95366136823144,27.36656123765935,27.01833081614963,26.800121278417837,26.48257921683691,28.377381483446676,25.155380518296212,23.51487685834322,23.50784001817893,24.698313340100864,29.182580066328313,26.355705101394317,26.4076610634278,26.188938170343583,25.01643882366641,24.936132038073737,25.674414052526963,25.447129293987004
Nepal,17.72839582854629,15.337732762782881,16.865698750895866,19.009860238240574,18.317785126288086,19.183007541802525,16.196459138408983,16.17321229822502,16.969476177311815,22.139137704031832,14.896855665011778,15.216719168441323,12.081095641336677,22.32280811982999,16.6330315946976,20.99340896062404,16.723098193739204,17.23028681311795,16.91673504556038,17.705878167459613,14.249016951957874
Pakistan,28.72013043173001,27.321111421439674,29.05377984717797,27.206763106310113,29.25663639545096,29.11329460850471,28.407733045739032,26.31360864950943,27.973401491003123,27.508126311208713,28.326472563496537,28.60401409415121,24.52927204158872,27.30963243804469,28.154043399863433,35.33031101175054,28.304637752825673,29.60657398655425,28.635270296289356,31.048161901212225,28.912651559674178
Sri Lanka,29.508949668734708,30.549560442157848,28.323048972385354,29.7517560428162,29.052468129077017,28.484233873654066,27.461184333764297,27.885725223316893,28.17307494668402,29.282516165340674,28.821562788316324,27.489174218271312,27.39256317271271,29.69854999617037,27.74722993638782,30.429421073732563,28.796590398786037,29.309009479876703,27.689367518705502,28.258973130369522,26.98270895123517
Zone 1,6.2475310763448935,6.998668608236695,6.564822812342806,10.820869968144528,8.583412222166945,5.52683859294887,1.5512831111720728,2.635382417442861,2.5776967449072448,5.789195304081383,6.693366764222942,9.764839150697682,-1.331773836846981,12.10143631115568,4.782254008546095,8.545962810304697,5.803554646111472,6.825621614954922,5.418500453286128,7.466296612316371,3.168945231448918
Zone 10,32.61420120175795,33.64018359940747,30.062408139970728,33.43690355074301,32.3107640150633,31.650104908934704,31.929060354757432,30.887528085963634,31.749755633621106,30.56187302968509,30.15744462187516,29.23646189825069,29.585400992968548,31.71847677429165,31.76933190551084,32.3554716998962,30.63797219852192,31.957695117128498,30.513230080471416,30.09116692122766,30.125179741734943
Zone 11,32.63685584259748,32.35597871839169,31.253737295605454,32.920576614605565,32.37729398369457,31.528150205733905,32.75844210476773,29.933248991124795,31.866027233647387,31.23947925727911,31.30604780738419,29.054097922331394,30.223544158643875,31.929619603375233,31.98555786484247,33.34604591979238,30.846365516910858,31.927631823039306,31.238529776873882,31.590868688987666,31.320375624954643
