,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5
Afghanistan,22.817075209524145,23.54272143700547,25.24075285119936,25.55063142250715,25.41066956457752,25.623778404909054,24.371490575872066,22.900707016271735,23.50163667061753,22.836107579399584,22.53031325763122,23.27937154863397,21.433397615726467,21.264931416979046,22.617869191387904,34.023148689310176,24.555903982403013,26.84318417528624,24.46870574958967,25.904976341459516,23.044398724133845
Bangladesh,28.265073787177155,28.395612828871805,27.451643312942053,25.75842386828854,29.76907657644391,29.70916737306654,27.65290940171704,28.937489871202036,27.90428278996397,26.21817794730763,26.793609569822543,24.74833645367517,26.55055410371583,29.41563485031936,26.236768004281746,28.264645990690852,27.927439640218314,26.080383727073272,27.288378238438266,28.1057372958652,26.798342890465744
Bhutan,17.31654837814035,17.994428806678943,15.684300985933461,17.912328705312614,18.975145530950055,18.319878847209495,17.776112400716396,17.665703735351588,17.617763635971997,16.29460136862365,14.08711515696387,15.703540966557549,16.68632515752742,17.447736241957756,16.966271599663656,18.009686387614707,15.651434876842321,17.14189119304722,16.679316334443975,17.056250390944182,20.339472748755924
Myanmar,25.06246917468161,25.00976669033706,23.42952176852286,24.140267749037747,25.83430544009954,25.321631289285353,23.93275991000572,24.50578168340093,24.265245764596145,24.605570402065275,22.633350766749885,23.210020990131305,23.60754442284313,25.524396948720913,23.375629122740328,24.673610192525445,23.480804716684194,23.460800638301514,23.843483642147167,24.63031204599406,23.834838634843305
Nepal,18.196428349171722,18.198843999269663,16.17159355260809,18.212210874398778,19.815726088052845,18.99627867662162,17.990385364507937,18.272787751269988,17.83851040110874,22.746831249589704,15.12063322359708,17.03252389304113,15.385626681653354,21.39425390761776,15.743369292856702,18.651091143329545,15.988291895715637,17.36410551755165,17.833366797595918,18.173341618599355,16.591930850470213
Pakistan,31.838956004290306,30.184140136818513,29.09911352337695,30.225382565112536,32.58676196322031,30.192078755364204,30.31869175159327,30.71334307552166,31.826687726787522,30.54126730650861,29.929610849155363,29.4939060718146,27.346230155544276,29.19846579358471,30.045649388742007,39.85941169442668,29.78314673471773,32.745274838912934,31.727951337292158,32.73816072973727,28.658653145833743
Sri Lanka,27.222646197150763,27.516800076353817,26.379617786432306,28.448000960943112,27.61387644001084,26.75477007946939,25.329908790274438,26.6477888443891,25.49819418963266,26.673169977524722,27.211278838934646,27.029989534265873,25.927604491328506,27.414581418504927,26.103142525168042,27.984652652763735,27.03963714844468,25.45782679563979,26.7052190294453,27.208594036725636,26.30483051652256
Zone 1,12.075889074649282,12.70385071584873,12.315754613164339,17.263025005683172,15.072056911968037,12.597668118290969,11.295765501314623,10.521871453027968,9.26304970329241,9.769618683170862,10.70753846951404,14.459111814260345,5.3173593856242425,17.064185882630284,7.51871409541934,17.038153286083965,12.069954804141995,14.509366970316336,12.296994430717398,12.961530582341164,10.863103315899625
Zone 10,27.567634336819506,28.598265076590263,22.8037546830379,25.38703755110583,25.958860502282736,25.148114786282207,24.927593483913583,25.19894851167787,23.78211065010169,27.313638444380356,25.033862898997555,24.55437365490558,24.49274052552501,26.17413694185655,25.130774445891717,26.22268067883603,23.775913380835355,23.341036030643085,24.656537648271094,24.938367845214582,24.86818521459641
Zone 11,29.831345114543232,30.898443261582006,25.452531779152725,27.154632481453135,28.946534946274273,27.481932232901592,27.985687826074077,27.336130709608085,26.2551879840071,29.109569380730843,27.26529191868043,26.447421291718204,26.587249113953085,28.33604954025883,27.024357558439522,28.564828361879975,25.99196052889075,25.727756428690824,27.301339167699716,27.86550824841794,27.62286203904947
Zone 12,26.071623559091623,25.59614504147202,23.393908875017512,26.050531237526766,25.67142179651201,25.458504001559284,23.708116771459014,25.0509569355086,24.003471449309732,25.97019738590019,24.55058270209227,24.737910281910636,24.93931756383312,26.485025602851838,25.62086027224342,25.830474730289012,23.727911369122126,23.09305011488969,25.00732042316781,25.288824987307642,24.08639453992306
Zone 13,30.19511935497943,29.383421209331203,26.224354928227168,28.687621405778398,28.635884277631884,28.168198390619974,28.391202992467157,29.031662101994954,28.067117533964296,30.158951079923373,28.02614414649963,26.036244499189944,27.218415545882255,30.063926201448492,28.81951987405751,31.29479022718071,26.50381635518433,28.082620093842873,28.031824350738,28.866232099512334,27.424331407851724
Zone 14,33.81534848015815,32.02258510215613,29.31345853999526,33.09115225188457,32.70757448726926,31.14966713926807,31.300114785701492,33.204397587994364,33.83766549802296,33.11242817398772,32.41918218011505,29.650273604382647,28.986652693993946,33.563657154756456,31.553564542882615,39.764486919532956,30.733302483736544,33.19698997438772,31.82442890352849,33.720861072581876,29.91438143843042
Zone 15,28.132120289522096,28.372080365349277,27.357806289033977,28.381226565887598,28.092438013413386,27.955485474829587,26.72351085648803,27.04872768626495,26.791517100614683,27.878664891860087,26.163065945673242,27.486725930606642,27.095352591720303,27.99971995634195,27.500111000210648,27.239925621314264,27.120240278848286,26.291731096280852,27.741289744657642,27.796337890625008,26.769683517652982
Zone 2,22.837268664790155,23.14631454549375,20.669786423356197,19.47114631760142,23.9435028858151,24.436603303842457,22.48000797036119,22.401975429759336,22.617829364633845,19.430517843317887,19.344083378650513,20.058925128195614,21.924836468253364,22.94798368566179,19.960247773495176,22.23106593277458,20.87080971921339,21.41944693977453,22.16652063651945,22.780746141502867,21.762347978410915
Zone 3,28.90952439650993,29.319930132697642,28.424574229140124,26.585897911708912,30.590867250729254,30.279944713650735,28.0172385660303,29.755102374506958,28.331851076612317,28.1675372105019,28.295105925445313,25.836544565437695,27.649683329864075,29.290983471839283,26.56602257788832,28.637155003612392,28.629486422932754,26.980556767270304,28.270176948597253,29.15331096025856,27.707910552523796
Zone 4,30.439964709028164,29.148344673562818,27.671075633281013,24.586248524599437,31.42248654761793,31.125647784392505,28.088451454283465,30.29296254390431,28.32001172234033,32.73967756383562,27.20256706922517,25.13281438918343,28.009926371200155,30.987288189201482,25.582160439299837,29.707772121153646,28.34227179855957,27.156228515207278,28.486169288271974,31.65808588521267,27.886385535061315
