,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5
Afghanistan,12.594686826070173,11.754461759679488,11.846838012140937,13.263678421807098,13.498239375563257,13.0013992413197,13.404584484637379,10.561585256632664,11.855735036906102,12.775623369216945,12.421927653655157,10.555036364349688,9.99467363021342,11.429071617126487,11.486718507451954,19.296759218230367,13.440787672453652,13.664686396551893,12.821796335426063,14.010423283093926,12.197057464792882
Bangladesh,25.850998012260817,24.203048963820077,25.692335045895987,23.942861448078535,28.59907378191445,27.104489916326322,25.28570622457636,26.570213766659027,25.119390972707095,24.396393284862427,23.017375745321775,22.695520560378245,25.24901527641251,28.60700311675154,23.262394621912847,25.822524176861084,25.718728045625934,23.651216373906067,25.112148885981075,25.71783702576085,25.16701294673066
Bhutan,12.202561705346232,11.770406099207285,12.4981760707034,13.859952003029578,15.27252537646329,13.164801835203525,12.80747936603478,12.524868182014044,12.209819389792074,13.895247838637436,8.34830035126088,11.285172585880082,11.635896927224561,13.34081423291976,12.172843653859674,13.918511585263289,11.673080768094962,12.949393771197114,12.00769386241643,13.100548506593436,16.471262841224252
Myanmar,22.56854246337209,23.091388710940954,22.216729293532225,22.15983749531507,24.48345848915181,22.71758241947294,22.66587515838236,22.83279267799957,21.197323791119256,22.38313416392866,20.987386201270706,21.49966731779384,22.850475531399667,25.64402644908063,20.289756649259555,22.85029265493948,21.78345867989201,21.763012902412022,21.82124207734396,22.56365443157551,22.79966172596363
Nepal,12.065648319874848,11.429243982138786,11.366888729789153,13.126197065634802,15.61066700697615,12.813908028624864,12.122724448384371,11.524125979127062,11.062641996495923,18.183447547720288,8.7533880780879,11.233801404167648,8.754150191369959,16.73183804039196,10.130630204301358,14.754845417237123,10.76587391744157,12.034997068151364,11.846902455491074,12.817183058068203,10.824683857751358
Pakistan,23.433294351947616,20.690268211946538,22.188859837854878,21.70579130709227,25.1369811558083,23.79277763124301,24.124693302664948,21.782977899538956,23.452239727194822,23.013180600583972,21.908352691159543,20.274619737014298,20.677277024988918,20.492835991886473,22.370992062623383,30.347158012767803,23.60332124763038,24.51779449850168,24.23831137627387,25.448189943461834,22.987623524779284
Sri Lanka,27.944380457261055,28.697331417308167,26.529834505009024,28.75954729163225,27.305827436260167,26.91298605227005,24.71855779619509,26.3999544255874,25.863184917674367,27.00902530445775,27.595545389094895,26.56949820424998,26.293052762443,27.632083668428336,26.2336135939056,28.155099067129193,27.258160835263386,25.463963077488103,26.24995314654185,26.769575211269427,25.529734168169078
Zone 1,3.5712591928272084,2.359346110438748,2.7427796268475553,6.4586173414131025,6.085975944789024,1.126251326881892,0.4164965547414172,-0.8051664356285564,-0.09682568130335494,2.952719178112743,1.1747105301119654,4.318935885890447,-4.947110465198469,6.846812553483162,0.14226715340653567,6.642748075984401,2.7024645750869536,4.103297069504818,1.3149273841209854,2.4301859873061913,0.02942045327551929
Zone 10,28.975481100643407,29.80396708025513,22.44062531954866,28.24636904303335,26.432204786766473,25.222359857617786,24.850190681531604,25.69284475397939,24.18879445665876,27.049794047146587,24.751467471064647,24.232195480083774,24.460791687394362,28.150936387368656,24.340223481088966,27.407515088287777,24.14627799874427,23.115500067970267,24.85718558710576,24.68445735333771,24.675813858201135
Zone 11,29.234052909900964,29.404757830052628,24.577000735571488,28.702075655674964,28.409480388699556,26.878949924900002,26.07292948126551,27.002242969331313,25.923137748141272,27.548295447939946,26.386814745794542,25.678528111277082,25.996757234661903,28.445592213122247,25.689473763070243,28.699600176250854,25.454635475850974,24.858681660339897,26.483545384672723,26.755669820757646,26.181137162695904
Zone 12,27.62825732262308,28.82137721441933,23.689906985344734,28.41581040977634,26.552817114869526,26.493283430111976,25.315718326328508,25.97481472538969,25.18938097486312,26.825660092222954,26.54366479939124,25.06027249604271,26.182230757766327,27.91165899139606,25.88118646991541,26.891548700068366,25.761744364200947,24.48466171437187,25.869999457132874,25.843189843703485,25.11285555461501
Zone 13,30.448948426755713,29.84918859145224,25.170075442997085,30.578464991074604,30.28432025092189,28.893724256195558,29.221585874748463,28.533283308440588,29.008342324051235,28.908526636260817,29.215200212335002,26.10071503549882,27.035434015421675,28.88093013057005,27.2837464694797,34.27381583981509,29.32515999204666,29.227471307866974,29.466437717789596,30.015483444258223,28.162572000883234
Zone 14,28.629562464362944,24.85064543680431,24.714196519680133,28.063916526541263,29.846739029728543,28.159976694111243,28.148371929927038,27.136007231668735,28.244934306425233,27.911149218191536,28.057644169564153,24.34219106537067,25.19757278789187,26.65240140761168,26.54702255426325,34.69916087188153,27.866778024449033,28.884891778507427,28.55216385890546,30.088439520875387,27.788169254085137
Zone 15,27.899704877068046,28.432843556123636,26.80718135034167,28.378225380084828,27.68494690539791,27.889169221765872,26.757008854846823,26.883053319594463,26.90639693316293,27.655523950913402,26.91633913947635,27.484100970099977,27.69852342792588,27.831278004365846,27.261342187021313,27.280801816650175,27.02631984201694,26.518695479568493,27.215790064194643,27.429972629921128,26.446478049838106
Zone 2,17.90582905325662,17.477894320292517,17.95859288479754,15.273632282431416,20.75680489678931,19.78850950239957,18.73807565869094,18.142074185131733,17.738174071286476,16.206085021483098,14.368867094496109,16.22299638635975,18.126233558112908,19.797242483863243,15.816645060248561,18.372466464568358,17.341128232650185,17.658262873299634,18.320008050439206,18.932244014456685,18.456618151438448
Zone 3,27.0314864813113,25.07601568683303,26.561329406967122,25.06743719929837,29.367573670364443,27.79744271089311,25.433213760401483,27.273159894756272,25.818792560053836,26.208521794337884,24.387217735952518,23.819301585278506,26.113452206948683,28.500481100643412,23.670074565114543,26.59277998092906,26.494896105793135,24.775079685437166,26.18867376822015,27.09814903741311,25.865753317050256
