,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5
Afghanistan,21.389936166651133,22.79470140419758,24.24490720310838,25.043250439565085,24.015464509156825,24.573695376885517,22.698790052022915,21.12359176523548,21.451240208569725,21.974515341309964,22.528389802062467,22.795229485923194,18.04006451510428,21.618651180641347,22.080478525395495,31.957829509228592,23.686612938030557,24.176196998152694,24.053939094496737,26.039774188808398,22.17208260523727
Bangladesh,31.73534176741613,31.81315240874373,29.090250720686456,27.088327058066017,31.715711228652154,30.590865085807053,29.46557241418935,31.557179246445077,30.76190412012163,28.8643105278188,26.688426425982243,24.683368465371824,27.88675958459908,33.343464764211,28.456399132223712,29.171387509909753,28.996415760130134,27.736931041809502,29.672347710994476,28.269074363190697,27.208140162302122
Bhutan,17.02355148016241,17.149284033681855,15.98393616442369,19.585099464910023,18.456464323156066,17.901452720492532,16.75847541375157,18.642925379136056,17.06110857795269,19.20016933665559,13.589821254953819,15.298260258693347,14.927906215264223,18.25996945848655,17.797610018861086,18.07129691911834,15.78112924701908,17.443621732378116,16.688461469263853,16.67494948044326,19.993998105725627
Myanmar,26.986690061766915,27.783444997108987,24.20986561805847,24.27138559516678,26.52502232105461,25.697704716156203,24.88713438687418,25.81597984698643,25.724561888430323,25.057391687601577,22.79194863969726,22.980447507906383,23.991179953102087,27.414035491515964,24.01054559889296,25.332131218604534,24.391215900700555,23.98802308985451,24.519454996837425,24.7911118740684,24.33212494630884
Nepal,19.757590294418574,18.34642093348573,17.81988876302845,21.156647050750625,21.176694905969402,20.20423778459138,19.01373570234996,19.478257783521187,19.95767407457375,24.544208770239077,16.20764209789656,17.043374473507686,14.616563838525359,24.504154664795628,18.144034587813792,22.458710983256303,17.903022738081866,19.935272009123032,19.90341090069655,19.71769544848987,16.682720861354326
Pakistan,30.96730944066268,29.7543084171603,31.931775540862592,30.62168011148787,33.443166419467666,33.121586531872516,31.727380707750935,30.43688153410272,32.575512806262864,30.483777450112758,30.753036242847838,30.700671668457858,27.413078667211987,29.557432692450924,31.976806398431897,40.57130873972917,31.70120028600025,33.617555739433094,33.17573952283563,33.970290462158715,31.139050598741854
Sri Lanka,28.81672554764096,29.809550132003523,27.097875203230462,28.882838672961537,28.429557154537044,27.82659211750905,26.665158558088425,27.507921016917532,27.101688744040125,28.348574918859168,27.933070678992756,27.29426996567672,26.691746302793277,28.761077761182626,26.669516497343995,29.154080454245282,27.445422881769865,27.284880117384812,27.185874859180352,27.918635060428823,26.650484387131176
Zone 1,9.380923488738194,10.33737299198878,12.460639373846185,16.564366355765944,13.559901493391497,11.10839558761079,6.5773692033630695,6.738385836154432,6.738254616758674,9.126502424321384,10.579922367497906,13.327944632653397,1.8723898978307556,15.57435918450761,7.815847970387749,15.041128736722438,11.245842533236788,12.546837758652769,11.1518467890886,11.99050628166897,7.547651013285929
Zone 10,31.80238948828824,32.59731967719767,25.36329650126234,29.28915214026242,29.603044110738473,27.98761090833758,30.286849719137543,29.39227532371483,30.676390225279594,30.49710739598132,26.56496202562848,28.410624832633864,28.228588986833532,30.937883923100518,28.995966670186885,29.877210702572224,26.888769326161253,27.878375321861483,28.791187443830516,28.231642632608185,27.060841082531027
Zone 11,33.59091655542427,33.57756484999602,27.869674968020348,30.209653697421654,31.982954880221435,30.093048402018706,33.309512179400215,30.59249224836421,32.8436674700398,32.13022520775891,28.8117727868577,28.44857956345789,30.012570061998154,32.67980484023038,30.501670781363238,32.266631633683595,28.842270583743215,29.614276230620877,31.627277031384143,31.302268535282785,29.85402810460087
