Model,Correlation,Std_Model,Std_Ref,TSS,Rank
ERA5,1.0,9.297199643570298,9.297199643570298,1.0,1
EC-Earth3-CC,0.9935189710089823,9.57496992633719,9.297199643570298,0.9156141490119442,2
KIOST-ESM,0.9920172915681397,9.161498894123476,9.297199643570298,0.9107099468546918,3
BMME,0.9914854415406645,9.357895087315804,9.297199643570298,0.9073099019964539,4
AMME,0.9880054828575379,9.195238896353851,9.297199643570298,0.8908070011453648,5
FGOALS-f3-L,0.9878930151045987,9.630128376100945,9.297199643570298,0.885188443406371,6
MPI-ESM-1-2-HAM,0.9864545988391181,9.249375175670139,9.297199643570298,0.8838580425476477,7
RMME,0.9861228732653757,9.14746352415555,9.297199643570298,0.8825976054246095,8
GFDL-ESM4,0.9856526670534559,9.164151454705578,9.297199643570298,0.8806500496811582,9
CMCC-CM2-HR4,0.9846017459030927,9.295310440720224,9.297199643570298,0.875922823221293,10
CESM2-WACCM,0.9840395504562425,8.964213529433879,9.297199643570298,0.8733895821412515,11
SAM0-UNICON,0.9849362750254452,9.755311419700654,9.297199643570298,0.8695394722587313,12
TaiESM1,0.9826662470626185,9.556985725621377,9.297199643570298,0.8650611675365627,13
NESM3,0.9812775494187641,8.828741120032255,9.297199643570298,0.8619836635151978,14
ACCESS-CM2,0.9801278856211222,9.170395613728983,9.297199643570298,0.8596643662837011,15
MIROC6,0.9781888172133226,8.87509351936632,9.297199643570298,0.8521772387844941,16
AWI-ESM-1-1-LR,0.9774853211549273,8.669865582267184,9.297199643570298,0.847448482884076,17
IPSL-CM6A-LR,0.9893302620094923,10.700453018928393,9.297199643570298,0.8461477205961723,18
IITM-ESM,0.97676204042824,9.689290856638532,9.297199643570298,0.8415473007252745,19
INM-CM4-8,0.9760228196166366,8.564747174309655,9.297199643570298,0.8412816494831006,20
GISS-E2-1-G,0.97320869108486,7.969280906954019,9.297199643570298,0.8178876524989982,21
KACE-1-0-G,0.960934401892135,9.017278985277379,9.297199643570298,0.8041871905071492,22
ACCESS-ESM1-5,0.9513561003458595,9.225026833398347,9.297199643570298,0.7802355463578006,23
BCC-ESM1,0.9546603279218973,10.51649711715112,9.297199643570298,0.7552847432136055,24
