Model,Correlation,Std_Model,Std_Ref,TSS
ERA5,1.0,9.297409703590446,9.297409703590446,1.0
ACCESS-CM2,0.9813358339387723,9.053920650111936,9.297409703590446,0.8639180341786956
ACCESS-ESM1-5,0.9535955417152909,8.952710948440245,9.297409703590446,0.7869946162058421
AWI-ESM-1-1-LR,0.9779910219071714,8.707008310527602,9.297409703590446,0.8495752552328447
BCC-ESM1,0.9550790825938172,9.971238631987168,9.297409703590446,0.77460509521537
CESM2-WACCM,0.9830476573904634,8.67229359423678,9.297409703590446,0.8655646986355217
CMCC-CM2-HR4,0.987514985018692,9.15477928760264,9.297409703590446,0.8885946358792637
EC-Earth3-CC,0.9930895116551288,9.64266039358814,9.297409703590446,0.9113626906474588
FGOALS-f3-L,0.9904538612225197,9.325878284129109,9.297409703590446,0.9021222351240257
GFDL-ESM4,0.9869694258227893,9.181332993120828,9.297409703590446,0.8862202779218203
GISS-E2-1-G,0.9752152911382458,7.876163659680543,9.297409703590446,0.8192244094292518
IITM-ESM,0.9770745542325483,9.304392995221505,9.297409703590446,0.8485307055416351
INM-CM4-8,0.97453921224346,8.13330296595739,9.297409703590446,0.826473692832485
IPSL-CM6A-LR,0.9907480624856573,10.379165375107334,9.297409703590446,0.8692441610399279
KACE-1-0-G,0.960291976153123,8.636353821057817,9.297409703590446,0.8014743787472496
KIOST-ESM,0.9920308985737433,9.38166396237742,9.297409703590446,0.9100979454122631
MIROC6,0.9748312610816438,8.835474356951108,9.297409703590446,0.841404562744808
MPI-ESM-1-2-HAM,0.9890603963671748,9.084132925388547,9.297409703590446,0.8953493266196287
NESM3,0.9839699593873208,8.540467049533595,9.297409703590446,0.865690230898932
SAM0-UNICON,0.9833208085801114,9.457768189954836,9.297409703590446,0.8691733625887834
TaiESM1,0.9806424349945186,9.18755105063927,9.297409703590446,0.861440826459102
AMME,0.9895166682612739,8.983885695571784,9.297409703590446,0.8965669715972103
BMME,0.9927762615133429,9.296156086646894,9.297409703590446,0.9150130976939486
RMME,0.9876319220390644,8.886514261164194,9.297409703590446,0.8868714999881504
