,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5,AMME,BMME,RMME
Afghanistan,23.51956654342953,25.3808401939916,26.807858299198667,27.609989784578456,26.997630354158268,26.718330190072688,25.756398991686293,24.207492303848294,24.991554759530487,23.342431522818195,24.199337988862172,24.95286630602446,21.96313484962316,22.607512855529805,23.92084226460239,35.44612945990079,26.137009349428453,27.936413424693306,26.086346593635568,27.408460871768185,24.200140910253236,25.799507345369037,25.34801461992762,25.950004920516175
Bangladesh,29.831758423772182,29.214350672473046,27.49562530739751,25.392481635882657,29.95424839094576,29.771883468282734,27.866994977597827,29.777439003508583,28.246934474755218,27.39833936734439,26.581109909054287,24.649033301628215,27.00268909408921,31.049226262019253,26.715114469226155,28.04669250627324,28.39140385095042,26.249513992147936,27.81679943194039,27.923272903005127,26.79822237873258,27.96874557211471,28.504567153913143,27.790138378181897
Bhutan,17.548854310278823,17.848122929591785,15.402668165804691,17.9322756074564,18.82847238877244,18.193990478515666,17.585619129732077,18.421666816262668,17.664899740780125,17.882908666274155,14.02355626874926,15.76359480315566,16.249757341665482,17.974822256050885,17.419572965335252,18.091039973338894,15.585705076967232,17.108742080205733,16.77931541293279,16.891892167633692,20.345034183626197,17.159873828975186,17.44131089336258,17.066061474179392
Myanmar,25.577435631845532,25.199092712188673,23.294640220643537,24.137626247853174,25.912306448102132,25.29422417942552,23.94688529490027,24.630440724797637,24.263464799448247,24.8516059923573,22.672851382076455,23.01340923042193,23.73366884676166,25.905656185203597,23.452332264680287,24.653977191976953,23.784370603034212,23.467971679261417,23.78094155501253,24.497846667239,23.970204779649524,24.3035373928615,24.221650613367586,24.33083298602614
Nepal,19.97652946920958,18.336380333993986,16.074313067081775,18.70584357574274,20.29054722647932,19.333012400822156,18.4060865623052,19.659710244571517,18.488362775530188,24.064600205621826,15.336109427830603,17.051719674075706,16.01269246825018,24.003548519017002,16.82108179621335,19.695104950243184,16.227215026148695,18.055305334301487,18.88399368165032,18.700523106123562,16.87825894470763,18.706133992260618,18.089421206012183,18.9117049210101
Pakistan,32.34602997557533,31.01187659286469,30.177213836906002,31.08012955044296,33.978591561923466,31.472703829760494,31.951692296596974,31.88681329964035,33.43820726606584,31.197120875938293,30.885718371020488,31.253835309097212,29.203744867718996,30.25637295459093,31.316351131641454,41.12688332823475,30.580538989748487,33.83237248901485,33.217275129718566,33.797791250390965,30.019858323272587,32.20056314534456,31.44161990947755,32.45354422396689
Sri Lanka,27.614124492570497,28.322232280058046,26.52324023601462,28.380836350239292,27.809540498022958,27.05648002624514,25.55071429455708,26.793936291862956,26.048055671243127,27.133562514361238,27.656325656332005,26.84419769586303,25.8942897827718,27.59312361174941,26.228838991651372,28.463514766437605,27.19072812326066,26.190346434880233,26.80166060503794,27.458708604800183,26.403144845139146,27.07772284639796,26.56413954551544,27.24891728002547
Zone 1,12.119079490800925,13.015413704460123,13.06290607315706,18.435987540833477,15.699738977211746,12.801304461565396,10.839131280421052,10.195756177921595,8.800887427030206,10.541978312215774,11.704820818413145,14.98742606038579,4.589736503487181,17.920361683028574,8.356225656436722,17.594325903886144,12.631259234317694,15.332805125181965,13.311738264364593,13.568676873878362,10.876049426415129,12.775477978449874,10.964735362132492,13.379058850555671
Zone 10,29.314990850891757,29.52123666401785,23.197195617923413,25.410862315437402,26.619423071411187,25.473453260766686,25.891074240178646,25.87289653104897,24.869340349221215,28.39263206114746,25.29139877299722,24.83544479705577,25.106830133403562,27.845626858253983,25.934951620542055,27.32606722028832,24.23962997441242,24.202627941903057,25.399693626846584,25.77204884124716,25.299536025948925,26.025871237449735,25.482401125389753,26.20702794146973
Zone 11,31.893545375506992,31.909341453459675,25.78362277275283,27.010544444268,29.36251410072631,27.847626654455482,29.0446686754612,28.124134318033878,27.45088331291992,30.412079472902473,27.725370255948405,26.355300277866704,27.351110020068695,30.238825426003753,28.003896229207033,29.59855875915549,26.266673269304302,26.519274028253378,28.414632848175103,28.8025375867239,28.095672013021517,28.405756964059677,27.85739982929238,28.588542675648778
