,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,ERA5,AMME,BMME,RMME
Afghanistan,1.4624645158356544,1.650486464593954,-0.7146753411334487,-0.2472897173993271,2.9278409197439834,-0.021523119966936573,-2.4952037735354073,-1.699261041248517,-1.4055975472225568,2.573463611041823,1.1253783015551073,1.9774511276507132,-3.881403388419212,-0.5507565030864403,-0.6292336489639957,4.48894361427905,-0.09474913361404445,-0.5870742951205966,-0.2968562767785826,0.5436708442915811,-1.0409292126000447,0.2063037806251401,-0.9879941434657802,0.6044030886554468
Bangladesh,19.677784050068368,16.589193702571198,18.459087857606317,19.08327844065505,21.50372692969293,21.1410226517913,20.721691790619428,19.709342569894947,17.33108187714316,21.53750945906836,19.082702720224717,16.65569019576546,18.942983712697085,22.506655207155003,19.713321688476086,21.113272660166878,21.413801586622732,16.7674922157813,18.022260539120587,19.20098519687262,20.5101014241035,19.458644252599676,20.539836057480898,19.098246984305934
Bhutan,5.817253896675887,3.6618794400084513,4.251192212798023,4.543725866720042,6.51137343263319,4.7415805701960565,5.963733315043661,4.236749114990254,3.259726275275759,12.694321863511057,2.808497817571331,3.865737077301649,2.7970716415764802,5.897732412300888,4.921274326299551,8.24507569588814,5.926239308086833,5.777591909448109,2.3149520704481787,3.627822758294441,10.052494053942794,5.093176550253399,5.157915326923271,5.071596958030108
Myanmar,18.092483687200485,19.52702218384306,17.52438322205073,18.63211245229382,19.030786031924293,17.770637938288434,19.862966894901554,17.085252305038864,16.653308886039184,20.316533351545598,18.372420851103016,17.345837711152598,17.818829861950835,22.547774730009213,19.766374912493493,19.086178930944676,18.949201747160828,16.87701928244084,17.01569693892167,17.867811161062654,20.477951559734816,18.507131654018295,18.686886759576637,18.447213285498844
Nepal,5.637674454547464,3.974994930833693,1.6248622710591878,2.679975660400646,6.209208717310584,3.8027510453339004,3.614181967699964,2.5423529488700436,2.2586699317484,11.476306232484475,2.1443518920139026,3.6284707259063533,-0.4844114011678963,8.540748848367494,2.057395970142398,7.092767765869774,3.409809985798015,3.914008361655706,1.9936567764210935,3.444968349125533,2.17106928871136,3.978137271721037,3.0852983835688645,4.275750234438428
Pakistan,13.16664329312728,10.86013171127422,10.349389268706,8.187971415375845,14.730546509501053,12.061542415480403,11.730355862817074,11.080428929422443,10.730661893981761,13.299699044695114,11.796968518125041,11.45102649555749,8.576781847066442,9.903585170504858,11.338389002800682,17.059443888355553,11.656843680183046,11.335430827652452,12.136574517044389,13.053230155925455,12.95170400749509,11.72528222237983,11.57351197814073,11.775872303792863
Sri Lanka,28.12292815563728,28.23617070515953,26.253741306615105,27.734654442441247,26.11456599765356,25.670204628838462,25.1616565898766,25.592671629961824,24.586973482019783,26.515672751034035,27.29144118849541,25.369637911927477,25.651875131689618,28.48968266505824,24.95987708147836,28.745624702206882,26.923670277354347,26.490892114961905,24.82171916587683,25.254208094777653,25.22951159035612,26.39939340115321,25.66161604150192,26.645319187703638
Zone 1,-6.812314748602811,-5.93370422817225,-10.3117581212261,-7.399324524267692,-7.945749807110589,-10.784918470642749,-12.888663151762229,-10.854996759751234,-12.44817977502909,-5.827488799801195,-8.27675652040883,-6.105406952420119,-15.76997252240113,-3.4895520522998824,-9.974734171054294,-6.616244288934617,-9.063629855096243,-9.221691244982921,-12.81371756582235,-10.914672661042559,-10.477315864510672,-9.172673811041442,-10.71338848166135,-8.659102254168141
Zone 10,27.225983300665224,26.71276032056262,20.89954855000411,28.03029539797214,24.689711490690822,23.80294370978017,24.838867713371318,23.37074210971012,22.41272037662502,24.316342241963838,25.068812356011524,22.551349957670713,23.520215863285713,25.90675824913893,25.19589729286419,27.173666477607224,24.49631328681981,22.17501594529335,23.22302294357342,22.747193714669994,25.183946757165312,24.417908064914016,24.340952822509127,24.443559812382308
Zone 11,27.134313053020705,25.407638313300613,21.570977051537113,27.066898364046523,25.153968253968284,24.241119280760827,24.91660465571096,23.927705819266208,22.621073340835377,24.881197906408683,25.49372679444636,23.32322706548442,24.13154706395062,26.334500968356114,24.685728686582344,27.291167536171297,24.019258206728345,22.541367789910804,23.448886470515696,24.043734450092458,24.96191630527755,24.611732053554686,24.358083329809737,24.69628162813634
