Model,Correlation,Std_Model,Std_Ref,TSS,Rank
ERA5,1.0,7.65229585573648,7.65229585573648,1.0,1
EC-Earth3-CC,0.9922030585791136,7.988006764081961,7.65229585573648,0.9045991962741141,2
BMME,0.9899801275148906,8.007020419594719,7.65229585573648,0.8924883527703812,3
GFDL-ESM4,0.9872854618337689,8.04392894515163,7.65229585573648,0.8788601257238108,4
AMME,0.9845747364087174,7.755121005614191,7.65229585573648,0.8746093541803699,5
CMCC-CM2-HR4,0.9862282711246022,8.13171969678463,7.65229585573648,0.8711702134694979,6
SAM0-UNICON,0.9860537677263117,8.149437595194495,7.65229585573648,0.8697595243961662,7
CESM2-WACCM,0.9820479261645082,7.354653422059252,7.65229585573648,0.8657977052549994,8
RMME,0.9819549698829055,7.676928330828744,7.65229585573648,0.8654329263436895,9
KIOST-ESM,0.98204512226969,7.761657459830382,7.65229585573648,0.8646722557266915,10
FGOALS-f3-L,0.989597099214365,8.554860333474789,7.65229585573648,0.8636708957030083,11
TaiESM1,0.9824027756944378,8.167110562806096,7.65229585573648,0.8549341097534272,12
MPI-ESM-1-2-HAM,0.9776314718795658,7.774234236714535,7.65229585573648,0.8488314584449324,13
NESM3,0.9778157176535791,7.00686463589786,7.65229585573648,0.8455002428307166,14
AWI-ESM-1-1-LR,0.9699476892310431,7.130051140749695,7.65229585573648,0.8258444671212012,15
ACCESS-CM2,0.9686331775897623,7.837522730493482,7.65229585573648,0.8199471757105331,16
IPSL-CM6A-LR,0.9863218923315743,9.13533393001004,7.65229585573648,0.8126266500577243,17
GISS-E2-1-G,0.9618347177185511,7.451930418686681,7.65229585573648,0.8063281976529462,18
MIROC6,0.9608114040481611,7.39167166439787,7.65229585573648,0.8039543856866439,19
IITM-ESM,0.9633988093824111,8.252298145451041,7.65229585573648,0.7937357515733211,20
INM-CM4-8,0.9525763034502808,7.324807022848365,7.65229585573648,0.7848026484202841,21
KACE-1-0-G,0.9470850911513455,7.311284825264177,7.65229585573648,0.7729542109660266,22
BCC-ESM1,0.9264834004030462,8.248416882683813,7.65229585573648,0.7131587725361037,23
ACCESS-ESM1-5,0.9262685601927254,8.334088054829788,7.65229585573648,0.7097075028902895,24
