Model,Zone,RMSE
RandomForest,Afghanistan,0.44865083804744366
LightGBM,Bangladesh,2.202200640463796
CatBoost,Bhutan,1.0426000187302036
RandomForest,Myanmar,1.3627855470717936
LightGBM,Nepal,1.0286906830742644
GradientBoosting,Pakistan,0.510498054539116
XGBoost,Sri Lanka,3.614134715380915
GradientBoosting,Zone 1,0.6160524530471049
GradientBoosting,Zone 10,1.4070971645392805
LightGBM,Zone 11,0.9122899354510746
XGBoost,Zone 12,4.656994351918409
LightGBM,Zone 13,2.096725161421386
GradientBoosting,Zone 14,1.1757794835075184
RandomForest,Zone 15,4.2907676787421964
RandomForest,Zone 2,1.4191728318486052
RandomForest,Zone 3,1.9466679083898986
LinearRegression,Zone 4,1.21014985691546
GradientBoosting,Zone 5,1.3331427437973553
LightGBM,Zone 6,1.0693401219882759
LightGBM,Zone 7,1.075328318677688
LightGBM,Zone 8,2.183828447289238
LightGBM,Zone 9,1.4619541458443295
