Model,RMSE,MAE,R2,Composite_Score
AMME,0.8630260176083304,0.7740512810154706,0.9525455194239824,0.6695725875517082
BMME,0.7564055129361725,0.6704238009821827,0.9635465347978098,0.6963969439172231
RMME,0.9204036721135567,0.8085937743599002,0.9460258101471588,0.6579720121444099
