Model,RMSE,MAE,R2,Composite_Score
AMME,0.6502135426056056,0.49860323860632555,0.9500167893379594,0.7275843172292982
BMME,0.5463490520753778,0.40042092779323674,0.9647099303179824,0.7623080944471503
RMME,0.7072615231872215,0.5434948482569258,0.9408612430030031,0.710915818651848
