Afghanistan,Bangladesh,Bhutan,Myanmar,Nepal,Pakistan,Sri Lanka,Zone 1,Zone 10,Zone 11,Zone 12,Zone 13,Zone 14,Zone 15,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,year,month
1.0398269565122924,0.51040093994472,0.6071196888983043,0.48363133097452415,0.5767403348700415,0.7089885492497062,0.2873588933977159,0.7152980395620095,0.34698652872334856,0.2722903440661361,0.3418434180064584,0.6793457031213783,0.5993073799229134,0.2868225897589631,0.5342231649083456,0.522530568216854,0.4563168063483815,0.4538064053325117,0.5618890546645305,0.4926238895681162,0.5712329000642276,0.5630165789182627,9.958246164193104,1
1.1995433763472647,0.6467012678679313,0.6784457776299091,0.486815723513395,0.6821126016826081,0.8199012462380417,0.332934928605673,0.7942401542032888,0.39781339840560603,0.28572784966217696,0.3416382558460811,0.5454805667647317,0.7184287493679721,0.2895266951309563,0.5761017989544954,0.6803831724350273,0.6393899981211034,0.6555241105126832,0.7791181520591232,0.616679950145802,0.618694520145047,0.47977587365540036,9.958246164193104,2
0.9920528165417537,0.7468085234168713,0.7881124265232141,0.459233385466342,0.8023806663853861,0.7929380878701856,0.4081550637946207,0.817877165297931,0.4371392117928979,0.37366040002774886,0.3913309878278939,0.5945533957808947,0.723612187085225,0.35707971463236027,0.7035769830484618,0.769552552215774,0.7845208027433299,0.7612664747148284,0.7933349839801059,0.6778794786769976,0.6593292955108326,0.6045152355743546,9.958246164193104,3
0.900637076747303,0.6570618348382434,0.7351035345930755,0.5064284503416057,0.6941049855758884,0.7874278462253901,0.4187414690635703,0.6896689445095743,0.36393484971719525,0.32288947468399526,0.33552553198526464,0.5676646472656215,0.7248829500687531,0.3059750741051154,0.7377710845150895,0.629698878963536,0.6733408615280738,0.6794575060087924,0.7792369914107071,0.5864478744437831,0.636741506977967,0.5046878923006203,9.958246164193104,4
0.870021016073113,0.8247197325948926,0.7096390060685503,0.5321892955044522,0.7119251235072197,0.7349994417325019,0.32402334381986936,0.6987157975632531,0.3387922165893865,0.2989274928530905,0.3211511791675041,0.44699529939215393,0.5946594507739533,0.2897745867433701,0.7437292333680764,0.8122834877516627,0.7981249678132986,0.6361718016129423,0.7950085034470278,0.5004930907785113,0.5081847683221052,0.3973888843798748,9.958246164193104,5
0.6868809293607834,0.6732880764094766,0.44249928442529657,0.46562655658434365,0.5439978670085905,0.47975549223050695,0.27507368220079087,0.5915539026772748,0.5651778119938953,0.5697089578319009,0.3405088962541374,0.39317151734726413,0.45916135703555866,0.27704911804331694,0.43515304913442615,0.7622357875157638,0.9795522994392007,0.7773903543501955,0.5786938871149496,0.9543453359434333,0.6861119166278693,0.5761327126343981,9.958246164193104,6
0.5254499883510003,0.45849032821408686,0.3695405628111475,0.3152953480514939,0.36734420652871796,0.45381265642744056,0.28021154539632165,0.47146013094298933,0.4621106927239334,0.4273797001820507,0.3304116669069354,0.5447304837236205,0.6755514471708255,0.2802288790087937,0.35025316734957723,0.5194181831739101,0.6373745281152677,0.7772312413591107,0.7910329472314364,0.6877263300340826,0.8286238480235746,0.5585573885542467,9.958246164193104,7
0.7726461301223755,0.27000388017549776,0.3025684783882416,0.22578375679027268,0.2763141481214413,0.553637854036482,0.25443277257368335,0.4197075813618894,0.37203702189095694,0.3407481220813622,0.26322834642062537,0.45630350890233184,0.6390786740138491,0.26530118029413985,0.29450956044662546,0.29954590536804254,0.3868301721521501,0.5143950816044703,0.6613624763193958,0.3531220158282021,0.5598956340282345,0.43876680152521613,9.958246164193104,8
0.8305648512397408,0.27852902367091514,0.3184003048328834,0.30854879200605034,0.3322158010513906,0.6087597950498919,0.2785686563622601,0.6398499190429146,0.4203745909108309,0.3646549433724574,0.27646179624728495,0.5246934473966782,0.6978130239011355,0.27307705784185016,0.36021739964407246,0.2594544321606297,0.37120647178345156,0.5799321335494453,0.7525374448236946,0.3623054750785296,0.6053271591613992,0.5086710972024048,9.958246164193104,9
0.846656360490314,0.4598164235730667,0.4924813962877321,0.3472012870364096,0.4946743808209981,0.6540669734558618,0.26326506277290845,0.8151674079133213,0.37770584953917996,0.2527372221613099,0.2512351750209566,0.571664873468087,0.6693301085764587,0.24471268416339867,0.48505178576821256,0.4385786244311149,0.5119164458220211,0.5602902221813424,0.7103903941559327,0.421786174800542,0.6187226916859684,0.6103670000433736,9.958246164193104,10
0.7373274216987518,0.46853148895565305,0.5538880281280175,0.4146709458738654,0.5259905859725766,0.5023172526544963,0.307183384914861,0.6672053796197004,0.4411189848251175,0.34506225481091707,0.34990428092640435,0.5073539403438412,0.3699505848195234,0.2860530360973558,0.43226846109836214,0.4697744606119778,0.5417719002392682,0.5277334757070682,0.4828390121090521,0.5356650134552274,0.6144311712859398,0.7151771055312417,9.958246164193104,11
1.000415613319066,0.4900076521449393,0.7150652843074266,0.5477056008441147,0.6702999844874656,0.6764175970519974,0.2796093535529575,0.9115258808805156,0.42612281318514295,0.369976249598642,0.398637304244293,0.6215380998024411,0.5801235325504668,0.3132591752622956,0.5489370031088703,0.5069879894872099,0.5273955934094233,0.6095068088031086,0.6462755102704121,0.5991566188026664,0.6901571097791407,0.7055871482482722,9.958246164193104,12
