time,Afghanistan,Bangladesh,Bhutan,Myanmar,Nepal,Pakistan,Sri Lanka,Zone 1,Zone 10,Zone 11,Zone 12,Zone 13,Zone 14,Zone 15,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9
1981-01,-2.542583246588138,17.5829882458778,7.251300743277928,18.21419092228079,-0.8440194132849054,10.649963250498008,23.69980177046247,-12.06064414247968,21.909738311223755,22.257424056499296,23.459939702369322,19.97224790810203,15.331316446923937,24.87080588552965,9.641637932260425,17.942979500644416,15.569541814315262,13.566719305601163,11.303412714005757,17.656539142476387,15.960521668467472,19.771461311542183
1981-02,-0.34244397317886505,20.215404205699215,10.50262090007731,20.539618012317593,2.367297965270924,13.559286706626192,24.73246422968795,-9.609427537884589,25.245733291066458,24.96764757194058,25.216898428491508,22.75672122172952,19.185132509887108,25.84389009166345,12.140922789237335,20.85086284264372,19.33243633979647,17.251106358655722,14.563923635128964,22.218188254244943,20.30619926017506,24.19722413824047
1981-03,5.0805187822210325,23.81073406421925,13.116275328821548,23.358820567330575,5.840693500762792,17.78159849145413,26.737224615438475,-6.927831578293905,27.26431302485753,27.171801581142848,26.871891934304614,26.677064847020233,23.373711612492222,27.3065405145116,14.656008530821595,24.900803306374872,24.083891135589372,21.494051209325313,18.39084101118435,25.286222424036975,24.24417520333953,26.990417402173325
1981-04,12.318678392672833,24.658985080845653,15.075097181221917,25.09298485703434,10.446768570717822,25.045284177225078,26.806500321272576,-1.6469376016812114,30.136199893496592,30.000888736395588,27.802803763967386,30.32367197381167,30.896865438765083,28.03134245795316,16.83226673093462,26.62975604383705,28.173701907236257,28.178180968893326,26.664193518246567,30.119402211232135,30.821864656388918,31.40020142127099
1981-05,18.02737016830371,26.247023807918705,17.863135184635603,25.584728864660043,14.102237654498177,29.235456421270953,26.92018176320058,4.704971189834682,29.908641634734632,30.87758685257313,27.378249638559055,31.82114001985391,33.83976396450702,27.97678275019225,19.751508482551543,27.788106006034543,30.72438466357981,31.325306321363605,31.129564962245762,31.475966088371784,33.64663087022095,32.48336952513794
1981-06,21.152784315617957,27.387252621508726,20.30813063104946,23.93409227553467,16.923431509464848,31.618651647668287,26.552237806350938,7.615867417734118,26.850105185167084,30.15128866132083,24.911434642879783,31.304403349034082,35.02126468190835,27.176432877356437,21.673186620064936,28.906092882520642,31.557593367246827,32.23831153121846,32.945834242636025,30.372996735786884,33.39497240882963,30.013807485583033
1981-07,23.7712419923595,26.680217208230644,20.328396209554278,23.983365861155338,16.679958535857015,29.325565711867668,26.567994142804586,10.944999086962882,25.444711979291714,28.23995109209437,24.118635414761272,28.13871853364296,30.659143771747363,26.84166911316876,21.716278083307312,27.67135691516995,27.695905976235995,27.682593875210596,28.391895892101843,25.876208438734018,27.47985550722923,25.717938632419237
1981-08,22.158914177530182,27.13196458445541,20.53840097455563,23.896302728085853,16.635624345009706,28.711942791795682,26.287470373180405,10.62661847992424,24.455330257439357,27.426611783553806,23.75392568158979,26.857926762662146,30.13836324434937,26.68085348476362,22.03333466642233,28.029676334099307,28.14376213563585,27.850030995732887,28.40271425636067,25.93900699159964,26.651350051097243,24.855074648705894
1981-09,18.003319805984603,26.581914975363343,19.129861515746324,23.807914153282947,14.45610792223987,27.29484636663186,25.744255618247763,6.738763924388296,24.492622869687718,26.535424302466357,24.540442265188336,28.113737562395883,30.949242034746664,26.49435174336704,20.832380151401342,27.42118412414635,27.035057523358653,27.422929662661254,28.2946854163431,25.78506280046799,27.71301555144598,25.553246960430783
1981-10,10.401171405828014,25.294854147433487,16.706834137597887,23.15892487662498,10.56872507716449,22.110380896146154,25.692533917930543,-0.6451620599588881,24.345052544104114,26.089191429378655,24.917123815329244,27.402907040258206,27.76527213631246,26.53787385692212,18.664426214561697,25.81778891213092,24.220336461387863,23.519393125375075,23.683259068081373,24.496145153670827,25.525383196183725,25.46544685890105
