,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,CHIRPS
Afghanistan,1.9126392762012505,2.431187082546175,1.5585250366482677,1.5415330225436246,2.2183832454082864,1.5882589089158465,1.088595689661111,1.908812014135087,2.489557884585578,1.8649976279571292,2.3294212660974547,1.3942322528229583,2.219409998011171,1.9183491914711794,1.3316251608326883,3.0539120536475837,2.4786852090847664,1.0660425273394376,1.341951922775387,1.3773418789847753,1.7141788095293813
Bangladesh,3.6601426137900015,2.267774512774888,0.34571561980285026,1.589829667771541,1.2588013426251612,1.2660898689811593,0.6260208016670492,0.6383854470566994,0.2215628613983168,1.5779962297545032,2.612934552332103,1.2500961110493383,1.0955790718073928,1.3711236787578147,0.22779890569285677,1.5255026714803779,0.7635534069718767,1.2335275541898685,0.725122052174803,0.8605792883131117,1.6256708778323585
Bhutan,3.4723660064476993,4.689077508176892,1.2973141500554688,2.6829323888454883,2.2563900244461252,1.7772825004109858,1.3650201432937519,1.1462037389199118,1.0461098798148833,2.3299817953869875,3.5772086097691216,4.461361896471368,2.922815157631125,1.6782585755737334,0.6901819710775636,4.564899000061973,1.5241247112790537,2.1947093463964813,2.033597765288558,3.3465707297995824,1.0852867614520278
Myanmar,2.1705764196799597,1.1570948844703484,0.6479712171704111,0.9751324394833893,0.9552659214953333,0.8127721231063944,0.5597775864635156,0.4562345954252908,0.3634354171830466,2.6597912832129094,1.205409738567254,2.772805782650857,1.0123535934406576,1.3958859548218565,0.5669628203308865,1.2046089397392274,0.4886317085085428,1.2771862684574264,1.0570907743472,1.2770894365030674,0.872287886689319
Nepal,1.585731673329109,2.986285638528911,1.5402278941398704,2.237033845755286,1.758444199005977,1.7355211427607011,1.0870978046955087,2.4963940950138515,1.2424837280109686,0.9026118986963925,2.6557813797009935,1.727798533497399,2.3908620764490673,1.2681519471865816,0.8682284768810934,2.7472476259509526,2.2776411061666018,2.4350514662337495,1.789264218186817,1.2021177804778593,1.059644031551801
Pakistan,0.6474293479317553,1.7907015778932005,0.3851102615826695,0.5287795481580396,1.269128347817745,0.6093308534509572,0.4895382356932888,0.6446091670220513,0.8747796315590737,0.8565738618210015,1.1748059907351331,0.4877444328528213,0.8249101914760754,0.8054913623807591,0.3848360457073857,1.4485504680521744,0.6630836200174518,0.26533054902018127,0.5298919584673698,0.43716738285670365,0.8690546225735881
Sri Lanka,1.0533393781885452,0.7529052482381945,1.0678851979934023,1.0519420806984496,0.636488765508415,1.2132962170364723,2.142650827914894,1.1733963893988941,1.5458342706172932,1.0758059032875333,0.3516024432469535,6.104544651165555,2.1884155416892823,1.0216609734037347,0.5773257208585058,0.5435041180359017,0.6556883486518357,2.9079726531256314,2.3702741458445766,2.9668990860492572,3.4375160361766786
Zone 1,2.602335951321485,3.3246605552807242,3.3299719258974863,2.2955337443806014,4.331323298522031,3.5188893587707737,2.4567068850671223,4.630709257153545,3.6617874548758245,4.533332585191307,3.8302469847691327,2.70665570066662,4.707323705016795,2.5790994507440965,2.3119948363567526,4.79948153913413,4.052753128765387,3.0595343282706473,3.303979489824434,3.0450003854900602,1.6227296574048826
Zone 10,0.3185329022252754,0.36174162457483966,0.2149688703069652,0.43355494672728917,0.24090601706991036,0.3775007030360493,0.1245198116403409,0.1260937764418586,0.16803428526235373,0.3244061720787513,0.1844820212307652,1.524998390926149,1.1615440589535233,0.3186462020966509,0.1781213732426133,0.8842604069386872,0.1493225236315561,0.43295892208277253,0.626210123405193,0.6293640508531884,0.2856837838248345
Zone 11,0.44413942547186663,0.4503623237318741,0.22828729007455584,0.4665801914318063,0.3733822827535232,0.43185989277401626,0.3578152991287486,0.22033672434573712,0.3023415281066262,0.4619978859987635,0.3027935853628807,1.1405886651008739,1.0196654588237002,0.3741230752885776,0.20471539513017137,0.7689607005921607,0.3341319908706224,0.6895712008031647,0.7438741571872187,0.6992921151513213,0.46720213042223824
