Model,Correlation,Std_Model,Std_Ref,TSS
ACCESS-CM2,0.2355832408929668,1.0828359330879158,0.6391803715878868,-0.23930904095444228
ACCESS-ESM1-5,0.19587051996315974,0.9250749503453278,0.6391803715878868,-0.12420375991256605
AWI-ESM-1-1-LR,0.5868250703615654,0.7114761241294429,0.6391803715878868,0.3171350900630494
BCC-ESM1,0.3059296048990166,0.7047416053965025,0.6391803715878868,0.12220610334347826
CESM2-WACCM,0.598027066772991,0.7749956296017387,0.6391803715878868,0.2858850622311252
CMCC-CM2-HR4,0.47985467629547146,0.6727418582171583,0.6391803715878868,0.25916592604129385
EC-Earth3-CC,0.577841542199632,0.5621431194607883,0.6391803715878868,0.38474320025794073
FGOALS-f3-L,0.5631571268219063,1.005312775098287,0.6391803715878868,0.07743184103812573
GFDL-ESM4,0.608809286351519,0.6154546750492248,0.6391803715878868,0.3857044379075262
GISS-E2-1-G,0.37370123501604124,1.0780814908916312,0.6391803715878868,-0.13670892756867148
IITM-ESM,0.25570746313676723,0.8546567759871256,0.6391803715878868,-0.02568341952380937
INM-CM4-8,0.7283611276644522,1.5716174680544004,0.6391803715878868,-0.31603817002785983
IPSL-CM6A-LR,0.557750033333268,0.8542903438979862,0.6391803715878868,0.19519281055331494
KACE-1-0-G,0.4225023507252004,0.7024053224128516,0.6391803715878868,0.20030420349084355
KIOST-ESM,0.45820906765807956,0.5714392065165022,0.6391803715878868,0.30000911141653686
MIROC6,0.3773659937902507,0.797329466757691,0.6391803715878868,0.10150200716417446
MPI-ESM-1-2-HAM,0.4226109163316296,0.8641251702719774,0.6391803715878868,0.08211430344968673
NESM3,0.5208404900562797,0.7724136194010334,0.6391803715878868,0.22491173736570558
SAM0-UNICON,0.7380027233712426,0.9718819246899388,0.6391803715878868,0.26935851083258633
TaiESM1,0.7683575918466421,0.8060600768138453,0.6391803715878868,0.42885823679550683
