,ACCESS-CM2,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-ESM1,CESM2-WACCM,CMCC-CM2-HR4,EC-Earth3-CC,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-G,IITM-ESM,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC6,MPI-ESM-1-2-HAM,NESM3,SAM0-UNICON,TaiESM1,CHIRPS
Afghanistan,2.0403997529093374,2.7978762359263434,1.8990730045143716,1.1992138710008178,2.4977874283380284,1.8880415682352325,1.414391250111004,1.5888440203623015,2.7089201310100535,1.7398564272968753,1.4942173590593264,1.299625845403806,2.1665028944769293,1.7344409986912575,1.003770687591059,2.699063276492326,2.899624820180558,1.1295872472162276,1.7622937805871057,1.144770216748749,1.1680083252064197
Bangladesh,3.7751203505679447,3.9366535959967734,0.7947073312017745,2.0354521905112355,1.0532584518847699,2.055419672998854,2.6508026796583337,0.30282952161013443,0.2860349194677644,3.1081018466366683,4.898218613749681,3.8810768980087547,1.5608194929899195,1.5609644933084852,0.6242555670803013,2.431831232335138,1.65692930020308,1.6127423551648459,1.2204310266523066,2.5174274333376347,4.758516594602548
Bhutan,4.783980051219812,7.4485082553125075,2.273727616726885,2.9664282294994133,4.943676120219088,2.871207732098307,3.282462833334892,1.0151218112078184,1.542614528749249,5.557235830334633,5.905334092129831,13.099673369053807,2.6494707876177395,3.1657600705504727,1.1491989845912505,8.883538436345054,3.087167312169784,3.121296946414404,3.376332000489127,12.286297647001932,3.7544250600821147
Myanmar,2.8313093038166897,2.125451661196634,1.7054024015962579,2.0721395732986454,1.203942297436105,1.6632686916579074,1.368862113528039,0.6548363686394099,0.5955142873553388,6.0138327151523105,2.4192028312103595,3.8482721851878146,1.8689832189591333,2.207936758189461,1.351230563517385,3.056181515242766,1.1397757618927638,3.1224389699222526,2.1337528775381043,2.953965782592918,1.9447729700692256
Nepal,0.8042697774747233,2.9126385994390196,1.6782199064891856,1.516253040176033,1.2727601907690296,1.4688097614912945,1.5839471517182178,1.418788111169465,1.3237092372735213,0.8163983940365759,1.6753266104665034,4.087333790122994,1.6154600556555738,0.759412103371021,0.9379248877971946,2.5036159490843835,1.3260103651429116,1.4903431333721548,1.2990609737713041,2.430263008324245,1.2620526000305434
Pakistan,0.6628813434474284,1.750579109727803,0.577677525955081,0.43159847901663584,1.172637947324136,0.6368056694722108,0.8169640001753725,0.3693398738596574,0.8993062183546853,0.8234985050977117,0.6174131385316022,0.7567108543594064,0.809399222957129,0.5456437532614224,0.2959407851534213,1.067222879451884,0.7209063231718053,0.25035186782705754,0.8047216871324979,0.41366175844508035,0.6007201692081909
Sri Lanka,1.3593993330615002,1.4721511706231387,2.811463428015523,4.175741291609554,1.0545576638536225,3.6576875614562745,2.9408135581311194,1.4035480530067024,1.8306261560380384,0.8978698547819958,1.2921597605679642,4.553426073385098,3.9002489190148433,1.5716421651985215,1.9752171263366216,1.6208546292608264,3.2554167441801827,2.5164808217500836,3.119203650042729,2.9955878882184646,6.53873031323668
Zone 1,2.2003882359031057,3.6252425470235115,3.5607638110526745,1.930471669144193,3.2695520206469983,3.8585937484667463,2.989538711651977,3.6973344315572354,4.173409459265557,4.8868919525513395,3.0583983000231356,2.6406142788768747,4.407850744360292,2.135388422388354,2.2122794501832757,3.208403880128521,3.523601280012248,2.4499647346173083,3.4520731819296824,2.7403550440168125,1.0362439069434206
Zone 10,0.31249659718176437,0.3362255139905099,0.503440698741134,1.4344962009097533,0.36300381727253817,0.9876510731681246,0.3850221718609168,0.14480162966229598,0.5011017102401967,0.43563312007400645,0.41466054150041715,1.7981537973498931,1.414633657563556,0.4268112419536611,0.509836426291463,2.065830843602203,0.5259885461593673,0.44914004260184454,0.8951243361732663,1.0240915176282732,1.0736784212674646
Zone 11,0.25579297388339656,0.3612834407568196,0.6365135673424906,1.5009737394720948,0.3363665044865508,0.8789558803780122,0.5516295653010644,0.32640586728215987,0.45499370859081845,0.5429606927958682,0.48206279785700495,1.1735853970119245,1.206763134478402,0.418878644307722,0.5457181937967902,1.1928369393000768,0.8416498132391124,0.7026283541162796,0.9543132422183925,0.6643172955999637,1.0975666762075509
Zone 12,0.26694418322694613,0.30290836311959135,1.0388861965374048,2.0351338011129543,0.7619077307424741,1.7774905915904236,0.9840086844191511,0.26807349868507707,0.8137691813894634,0.7280409402616951,0.6165994293220425,2.120068380521694,1.5525539815193417,0.22612086514447488,0.4388778183458152,2.241756993089364,0.5740060558861769,0.4485748344018781,1.121976499316322,1.7871743527742519,1.7787643972844098
Zone 13,0.03237740728817536,0.036519827351469386,0.03815303556676414,0.042621672055321407,0.07414581687852681,0.06165274039182768,0.020598816435585282,0.004253253155944888,0.01641182756629036,0.25228579924416283,0.061028640266330425,0.23454384605569908,0.06681218486100292,0.037893460801712804,0.0038097703559501696,0.17771265859861146,0.01650499545111119,0.011669386277339357,0.05803074272567998,0.009355633928195236,0.00797343842241401
Zone 14,0.07136098661217517,0.18021307858599336,0.07759513503656425,0.0791136723548661,0.1988870357895254,0.09480905051328864,0.10134812619566842,0.002055345806751997,0.05132029040016971,0.12941083789738708,0.17018116598237404,0.49638939832396956,0.13468687723135836,0.0646904648382264,0.02178891800235985,0.4320386678928437,0.033195307136284755,0.04403147755534938,0.1718031555841252,0.12230163458928374,0.14521934067310557
Zone 15,0.5994059676693804,0.3993187389866815,5.012789941901446,1.7140437391495127,0.21571363377855815,0.9566843973956419,1.4180876436279202,0.23560049638566044,0.6066412054586036,1.024091856801105,3.427357934575631,2.5831373176462127,1.3263775029694933,0.6275485950370426,0.425019683271009,1.4655788831353742,3.5605338535700035,5.491079673109941,1.3942269213722078,1.1525781657089145,2.177235242006902
Zone 2,11.7022095880217,10.766488365654572,3.015449427737628,2.9601568465896593,6.610301408826113,4.384119425281568,4.161001332488015,2.4464809092538995,3.26309824001889,12.410359153110159,6.5517130818670575,6.8052600689683835,2.9751047188792192,7.070138139342789,2.378264559971249,8.71330591808313,3.9690384902846336,4.76160547829115,5.94841234004421,12.56714292629746,5.69522545964108
Zone 3,1.1395734786234977,1.8321791281345086,0.7398363088459083,1.22879328223363,0.6137458336806089,1.4720749832916329,0.9354944129829839,0.16593597851649933,0.15891459391694826,0.6703153869390753,0.5851518450821738,3.212620326152974,0.7673318261073447,0.8491233424167326,0.49423543807330195,1.8626192150817455,1.4038675944650896,1.1731451366038987,0.7723840086639914,1.3066299335727662,1.8107422146665988
Zone 4,0.32051418512663354,1.2234579761170519,0.262496464088422,0.949821845679688,0.31658461051467846,0.6094025591484471,0.422752089518019,0.045790050658533525,0.16616416322046293,0.1765982353092046,0.22763650721273504,1.6889544241846954,0.21896380549426245,0.3566026830263616,0.2876308080921525,0.700538944051687,0.26977037561248884,0.5646517825686671,0.26092103197208755,0.45379998410114525,0.6005672426613783
Zone 5,0.19141629426401913,0.652137558444374,0.36258264431456544,0.42575604008906104,0.3686124668853568,0.36498270679082523,0.34409693493802296,0.09499810195630994,0.21650577492445428,0.1610986306983535,0.2733035503992172,0.6762940746403049,0.1667988036387161,0.18259671910537864,0.16943467884432398,0.5832836466541851,0.23795269873505523,0.2845754223324867,0.2373833937074198,0.23067572205233772,0.24832726349345305
Zone 6,0.5142143611388909,1.2553443342201214,0.5904999495333602,0.41022056805076906,0.7221254071409066,0.5046244571381381,0.6352825428529634,0.20054281420501843,0.6055500518135348,0.5019708861527336,0.5807187008337767,0.7008282360593414,0.6219585557989354,0.30765243491480093,0.3398817477073845,0.974893599071563,0.39604262031457155,0.2779311588734256,0.5701279583372229,0.4238792788993211,0.3658030220494575
Zone 7,0.38045973025372354,0.5845983051357847,0.27754696126790285,0.49130710353047996,0.4300549193330339,1.031747135908349,0.45041426403282,0.1366232794294509,0.20504922981785542,0.1932679945523174,0.26957971990472446,1.2032101846636365,0.6855846542545939,0.46357716113739067,0.43033777433079407,1.110357510144777,0.3422790684314249,0.37694247208973125,0.5716289951443148,0.40458066097879053,0.7156208391849436
Zone 8,0.08742047962326677,0.2262980807498541,0.09706939177437084,0.21449031410628583,0.23756918941661553,0.2838970062206081,0.11457559579566022,0.015838892328800022,0.04060056623699087,0.06293463153241385,0.12931366123623536,0.7878513141697273,0.13503141702710653,0.11115080232478992,0.06461643791483015,0.5203077899917722,0.05039619731089237,0.07924840285026831,0.1464995715373149,0.1272379262399158,0.07545779136276481
Zone 9,0.10556418115310838,0.12576485683475103,0.10070630957766716,0.19772303131967728,0.19922260862277394,0.3527782563857045,0.1214817569636303,0.009385434555655738,0.055369217924904526,0.14510804353834766,0.07616421777550554,0.7379673538097983,0.2082850787861243,0.0970454888256316,0.09905400349313749,0.4725358896944931,0.051397191364504345,0.04394106627321648,0.21075803273768176,0.10014973247420646,0.20588980617679184
